activation,Apple M4 ANE,Apple M4 CPU,DeepX M1,Hailo-8,Mobilint-ARIES,Qualcomm QCS6490,RTX PRO 6000 Max-Q
ELU,5.496482993,20.04066215,,1.588744927,1.126855796,3.472513895,1.507290864
GELU,10.21005335,20.92428731,1.96782259,1.57680364,1.128771414,44.02284454,1.460630131
HARDSWISH,0.77168316,20.16379138,1.965699586,1.583346111,1.14682128,20.37163843,1.770342399
LEAKYRELU,0.625300861,19.74271755,1.974893914,1.591245319,1.143087877,3.018636657,1.368702
MISH,11.0977932,24.37026721,2.002164135,1.576213636,1.142917606,62.58197001,1.749570022
PRELU,0.626477424,20.0067534,3.339365892,1.892119238,1.131175211,20.1851826,1.491306978
RELU,0.625275215,19.73338311,1.980617082,1.548299846,1.12994947,2.763471534,1.500973911
RELU6,0.645661806,19.73721324,1.936261809,1.542200224,1.14163423,2.719094335,1.647623331
SELU,5.467745496,20.06627627,166.2684338,,1.13089952,22.01996652,1.531105531
SILU,0.731058339,20.11195621,2.018686159,1.58938919,1.126378104,3.076074094,1.545218629
