task,scenario,accuracy,samples_per_second,accelerator_type,input_resolution,benchmark_model,input_size,model_family,width_multiplier,throughput_offline,relative_flops,throughput_singlestream,multicore_efficiency
Image Classification,Offline,59.23,601.495807,Hailo-8,inputResolution:448,mobilenetv2_w1_0,448,MobileNetV2,1.0,601.495807,4.0,218.354485731227,2.75467575115623
Image Classification,Offline,73.5,106.1414268,Hailo-8,inputResolution:448,resnet101_w1_0,448,ResNet-101,1.0,106.1414268,4.0,22.458938662135466,4.7260214917879715
Image Classification,Offline,71.98,138.3758548,Hailo-8,inputResolution:448,resnet50_w1_0,448,ResNet-50,1.0,138.3758548,4.0,65.71486781095209,2.1057008772821146
Image Classification,Offline,59.22,640.5538299,Hailo-8,inputResolution:432,mobilenetv2_w1_0,432,MobileNetV2,1.0,640.5538299,3.719387755102041,219.69225403602354,2.9156869126344644
Image Classification,Offline,74.42,121.4289796,Hailo-8,inputResolution:432,resnet101_w1_0,432,ResNet-101,1.0,121.4289796,3.719387755102041,23.071110862473237,5.263248064813068
Image Classification,Offline,72.32,132.6138199,Hailo-8,inputResolution:432,resnet50_w1_0,432,ResNet-50,1.0,132.6138199,3.719387755102041,65.48167847617498,2.0252049578761264
Image Classification,Offline,61.09,656.7933803,Hailo-8,inputResolution:416,mobilenetv2_w1_0,416,MobileNetV2,1.0,656.7933803,3.4489795918367347,225.31391543011395,2.915014720889349
Image Classification,Offline,75.6,127.8351271,Hailo-8,inputResolution:416,resnet101_w1_0,416,ResNet-101,1.0,127.8351271,3.4489795918367347,23.54162121387769,5.430175175218676
Image Classification,Offline,73.04,131.5135185,Hailo-8,inputResolution:416,resnet50_w1_0,416,ResNet-50,1.0,131.5135185,3.4489795918367347,66.24071769899297,1.9853878863090784
Image Classification,Offline,61.71,688.3059081,Hailo-8,inputResolution:400,mobilenetv2_w1_0,400,MobileNetV2,1.0,688.3059081,3.188775510204082,227.534434638693,3.025062598516028
Image Classification,Offline,75.89,125.5166735,Hailo-8,inputResolution:400,resnet101_w1_0,400,ResNet-101,1.0,125.5166735,3.188775510204082,23.143549680188485,5.423397673842821
Image Classification,Offline,73.25,184.1810095,Hailo-8,inputResolution:400,resnet50_w1_0,400,ResNet-50,1.0,184.1810095,3.188775510204082,79.13557520593007,2.327411016103896
Image Classification,Offline,63.24,812.9958353,Hailo-8,inputResolution:384,mobilenetv2_w1_0,384,MobileNetV2,1.0,812.9958353,2.9387755102040813,256.7778711326539,3.166144464528248
Image Classification,Offline,76.45,110.2334569,Hailo-8,inputResolution:384,resnet101_w1_0,384,ResNet-101,1.0,110.2334569,2.9387755102040813,21.511449896101922,5.124408509534048
Image Classification,Offline,73.94,216.5935006,Hailo-8,inputResolution:384,resnet50_w1_0,384,ResNet-50,1.0,216.5935006,2.9387755102040813,88.99152411886419,2.4338666265643503
Image Classification,Offline,63.48,857.4979812,Hailo-8,inputResolution:368,mobilenetv2_w1_0,368,MobileNetV2,1.0,857.4979812,2.6989795918367343,258.34891835239574,3.319146782841749
Image Classification,Offline,76.27,172.1222837,Hailo-8,inputResolution:368,resnet101_w1_0,368,ResNet-101,1.0,172.1222837,2.6989795918367343,26.00811262526459,6.618022852331021
Image Classification,Offline,74.13,236.4356758,Hailo-8,inputResolution:368,resnet50_w1_0,368,ResNet-50,1.0,236.4356758,2.6989795918367343,94.33350796132217,2.506380616068485
Image Classification,Offline,64.7,916.805872,Hailo-8,inputResolution:352,mobilenetv2_w1_0,352,MobileNetV2,1.0,916.805872,2.4693877551020407,271.24709211623156,3.3799657163039423
Image Classification,Offline,77.19,174.7164097,Hailo-8,inputResolution:352,resnet101_w1_0,352,ResNet-101,1.0,174.7164097,2.4693877551020407,23.698533544555456,7.372456585616019
Image Classification,Offline,74.71,255.1238514,Hailo-8,inputResolution:352,resnet50_w1_0,352,ResNet-50,1.0,255.1238514,2.4693877551020407,96.5938502748608,2.6412018019163455
Image Classification,Offline,64.37,958.511626,Hailo-8,inputResolution:336,mobilenetv2_w1_0,336,MobileNetV2,1.0,958.511626,2.25,277.88109829271787,3.4493588512821804
Image Classification,Offline,77.06,184.8142273,Hailo-8,inputResolution:336,resnet101_w1_0,336,ResNet-101,1.0,184.8142273,2.25,25.302526328767698,7.304180811774338
Image Classification,Offline,74.87,274.3359454,Hailo-8,inputResolution:336,resnet50_w1_0,336,ResNet-50,1.0,274.3359454,2.25,107.80748225857516,2.5446837237327182
Image Classification,Offline,65.56,1060.265668,Hailo-8,inputResolution:320,mobilenetv2_w1_0,320,MobileNetV2,1.0,1060.265668,2.0408163265306123,303.5110153650406,3.493335049882097
Image Classification,Offline,77.69,197.1535366,Hailo-8,inputResolution:320,resnet101_w1_0,320,ResNet-101,1.0,197.1535366,2.0408163265306123,23.878032904793248,8.256690883461495
Image Classification,Offline,75.21,532.1249774,Hailo-8,inputResolution:320,resnet50_w1_0,320,ResNet-50,1.0,532.1249774,2.0408163265306123,171.05605513084654,3.1108222213645678
Image Classification,Offline,65.8,1142.98369,Hailo-8,inputResolution:304,mobilenetv2_w1_0,304,MobileNetV2,1.0,1142.98369,1.8418367346938778,300.60568986341553,3.8022689807346324
Image Classification,Offline,78.1,209.1023579,Hailo-8,inputResolution:304,resnet101_w1_0,304,ResNet-101,1.0,209.1023579,1.8418367346938778,23.90262805721655,8.748090686909592
Image Classification,Offline,75.37,334.5130122,Hailo-8,inputResolution:304,resnet50_w1_0,304,ResNet-50,1.0,334.5130122,1.8418367346938778,133.31462095540567,2.50919973970369
Image Classification,Offline,66.54,1252.996366,Hailo-8,inputResolution:288,mobilenetv2_w1_0,288,MobileNetV2,1.0,1252.996366,1.6530612244897962,327.5377154799063,3.8255025506425033
Image Classification,Offline,77.75,228.6282543,Hailo-8,inputResolution:288,resnet101_w1_0,288,ResNet-101,1.0,228.6282543,1.6530612244897962,26.953000712554324,8.482478694608139
Image Classification,Offline,75.29,402.9748771,Hailo-8,inputResolution:288,resnet50_w1_0,288,ResNet-50,1.0,402.9748771,1.6530612244897962,145.27713057147017,2.773835603131998
Image Classification,Offline,66.13,1353.773289,Hailo-8,inputResolution:272,mobilenetv2_w1_0,272,MobileNetV2,1.0,1353.773289,1.4744897959183672,332.04092909684596,4.077127758563604
Image Classification,Offline,78.05,222.5893694,Hailo-8,inputResolution:272,resnet101_w1_0,272,ResNet-101,1.0,222.5893694,1.4744897959183672,24.398118526110057,9.123218626952413
Image Classification,Offline,75.55,418.7854213,Hailo-8,inputResolution:272,resnet50_w1_0,272,ResNet-50,1.0,418.7854213,1.4744897959183672,138.90112389792833,3.0149894367143135
Image Classification,Offline,66.54,1761.957139,Hailo-8,inputResolution:256,mobilenetv2_w1_0,256,MobileNetV2,1.0,1761.957139,1.3061224489795917,440.15716265734875,4.003018213682096
Image Classification,Offline,78.33,294.7569047,Hailo-8,inputResolution:256,resnet101_w1_0,256,ResNet-101,1.0,294.7569047,1.3061224489795917,24.117104058111565,12.221902927887449
Image Classification,Offline,76.06,798.887881,Hailo-8,inputResolution:256,resnet50_w1_0,256,ResNet-50,1.0,798.887881,1.3061224489795917,214.94847673083123,3.716648255202132
Image Classification,Offline,66.52,1974.971392,Hailo-8,inputResolution:240,mobilenetv2_w1_0,240,MobileNetV2,1.0,1974.971392,1.1479591836734693,456.4700257503734,4.326617917032824
Image Classification,Offline,78.29,307.0536416,Hailo-8,inputResolution:240,resnet101_w1_0,240,ResNet-101,1.0,307.0536416,1.1479591836734693,24.601905538674547,12.480888568460978
Image Classification,Offline,75.78,860.6905751,Hailo-8,inputResolution:240,resnet50_w1_0,240,ResNet-50,1.0,860.6905751,1.1479591836734693,224.41038485051595,3.835342003772787
Image Classification,Offline,67.78,2278.63136,Hailo-8,inputResolution:224,mobilenetv2_w1_0,224,MobileNetV2,1.0,2278.63136,1.0,484.5105339940115,4.702955250975335
Image Classification,Offline,79.21,321.6487007,Hailo-8,inputResolution:224,resnet101_w1_0,224,ResNet-101,1.0,321.6487007,1.0,24.758024231629026,12.991695043624901
Image Classification,Offline,76.94,923.2832946,Hailo-8,inputResolution:224,resnet50_w1_0,224,ResNet-50,1.0,923.2832946,1.0,237.05297329015957,3.894839544872002
Image Classification,Offline,65.1,2318.713184,Hailo-8,inputResolution:208,mobilenetv2_w1_0,208,MobileNetV2,1.0,2318.713184,0.8622448979591837,478.1716051344631,4.84912353452684
Image Classification,Offline,77.41,371.2191904,Hailo-8,inputResolution:208,resnet101_w1_0,208,ResNet-101,1.0,371.2191904,0.8622448979591837,27.48155011087158,13.507942197669093
Image Classification,Offline,75.38,1226.123474,Hailo-8,inputResolution:208,resnet50_w1_0,208,ResNet-50,1.0,1226.123474,0.8622448979591837,253.97758860410607,4.82768373673809
Image Classification,Offline,64.82,2562.621237,Hailo-8,inputResolution:192,mobilenetv2_w1_0,192,MobileNetV2,1.0,2562.621237,0.7346938775510203,496.87871622423944,5.157438129918809
Image Classification,Offline,77.13,379.0971686,Hailo-8,inputResolution:192,resnet101_w1_0,192,ResNet-101,1.0,379.0971686,0.7346938775510203,25.09769135814085,15.104862164026635
Image Classification,Offline,74.54,1468.144503,Hailo-8,inputResolution:192,resnet50_w1_0,192,ResNet-50,1.0,1468.144503,0.7346938775510203,284.0741590454948,5.168173366887887
Image Classification,Offline,63.93,2811.654124,Hailo-8,inputResolution:176,mobilenetv2_w1_0,176,MobileNetV2,1.0,2811.654124,0.6173469387755102,506.50050651468854,5.551137832709082
Image Classification,Offline,72.02,1763.89766,Hailo-8,inputResolution:160,resnet50_w1_0,160,ResNet-50,1.0,1763.89766,0.5102040816326531,293.31760637852875,6.0136098946739525
Image Classification,Offline,58.79,3788.192907,Hailo-8,inputResolution:144,mobilenetv2_w1_0,144,MobileNetV2,1.0,3788.192907,0.41326530612244905,550.4629160828906,6.881831266594462
Image Classification,Offline,48.42,5648.662426,Hailo-8,inputResolution:112,mobilenetv2_w1_0,112,MobileNetV2,1.0,5648.662426,0.25,739.7880126944634,7.635514943566582
Image Classification,Offline,39.5,7319.195985,Hailo-8,inputResolution:96,mobilenetv2_w1_0,96,MobileNetV2,1.0,7319.195985,0.18367346938775508,769.6589867694197,9.509660915831988
Image Classification,Offline,43.62,4794.542593,Hailo-8,inputResolution:80,resnet50_w1_0,80,ResNet-50,1.0,4794.542593,0.12755102040816327,441.1373518253382,10.868593586920584
Image Classification,Offline,65.02,612.8091851,Hailo-8,inputResolution:112,resnet101_w1_0,112,ResNet-101,1.0,612.8091851,0.25,25.499406598591655,24.032291995918282
Image Classification,Offline,62.18,3046.106079,Hailo-8,inputResolution:112,resnet50_w1_0,112,ResNet-50,1.0,3046.106079,0.25,400.7455224443295,7.601098224180801
Image Classification,Offline,29.25,7920.336391,Hailo-8,inputResolution:80,mobilenetv2_w1_0,80,MobileNetV2,1.0,7920.336391,0.12755102040816327,791.3150019605343,10.00908155586189
Image Classification,Offline,16.59,11515.29304,Hailo-8,inputResolution:64,mobilenetv2_w1_0,64,MobileNetV2,1.0,11515.29304,0.08163265306122448,910.635408003811,12.645338561172892
Image Classification,Offline,15.65,759.1666093,Hailo-8,inputResolution:48,resnet101_w1_0,48,ResNet-101,1.0,759.1666093,0.04591836734693877,25.798996029283227,29.426207455449262
Image Classification,Offline,73.47,1399.465001,Hailo-8,inputResolution:176,resnet50_w1_0,176,ResNet-50,1.0,1399.465001,0.6173469387755102,277.45968804909285,5.0438498321687115
Image Classification,Offline,61.53,3281.257274,Hailo-8,inputResolution:160,mobilenetv2_w1_0,160,MobileNetV2,1.0,3281.257274,0.5102040816326531,524.7462389502052,6.253036287719574
Image Classification,Offline,74.85,420.2394503,Hailo-8,inputResolution:160,resnet101_w1_0,160,ResNet-101,1.0,420.2394503,0.5102040816326531,25.357178008078066,16.57280041833219
Image Classification,Offline,53.96,5357.754094,Hailo-8,inputResolution:128,mobilenetv2_w1_0,128,MobileNetV2,1.0,5357.754094,0.32653061224489793,737.2272733770715,7.267438804125272
Image Classification,Offline,69.76,588.283017,Hailo-8,inputResolution:128,resnet101_w1_0,128,ResNet-101,1.0,588.283017,0.32653061224489793,25.221800685475223,23.324386087103665
