model,resolution,accelerator,throughput_singlestream,throughput_offline,multicore_efficiency,relative_flops
MobileNetV2,112,Hailo-8,739.79,5648.66,7.64,0.25
MobileNetV2,112,DeepX M1,903.55,4584.12,5.07,0.25
MobileNetV2,112,Mobilint-ARIES,2562.24,12163.27,4.75,0.25
MobileNetV2,112,Apple M4 ANE,4055.68,3698.26,0.91,0.25
MobileNetV2,112,Apple M4 CPU,269.82,1372.22,5.09,0.25
MobileNetV2,112,Qualcomm QCS6490,472.93,601.74,1.27,0.25
MobileNetV2,112,RTX PRO 6000 Max-Q,1141.8,11911.95,10.43,0.25
MobileNetV2,160,Hailo-8,524.75,3281.26,6.25,0.51
MobileNetV2,160,DeepX M1,787.87,4234.95,5.38,0.51
MobileNetV2,160,Mobilint-ARIES,1896.86,10882.81,5.74,0.51
MobileNetV2,160,Apple M4 ANE,3344.66,3057.91,0.91,0.51
MobileNetV2,160,Apple M4 CPU,169.37,837.18,4.94,0.51
MobileNetV2,160,Qualcomm QCS6490,921.38,1005.87,1.09,0.51
MobileNetV2,160,RTX PRO 6000 Max-Q,1088.07,6295.38,5.79,0.51
MobileNetV2,224,Hailo-8,484.51,2278.63,4.7,1.0
MobileNetV2,224,DeepX M1,586.36,2825.92,4.82,1.0
MobileNetV2,224,Mobilint-ARIES,1233.64,7152.9,5.8,1.0
MobileNetV2,224,Apple M4 ANE,2267.17,2223.39,0.98,1.0
MobileNetV2,224,Apple M4 CPU,99.95,470.73,4.71,1.0
MobileNetV2,224,Qualcomm QCS6490,796.68,814.92,1.02,1.0
MobileNetV2,224,RTX PRO 6000 Max-Q,1074.02,3623.49,3.37,1.0
MobileNetV2,320,Hailo-8,303.51,1060.27,3.49,2.04
MobileNetV2,320,DeepX M1,400.5,1246.19,3.11,2.04
MobileNetV2,320,Mobilint-ARIES,805.48,4882.49,6.06,2.04
MobileNetV2,320,Apple M4 ANE,1260.77,1239.68,0.98,2.04
MobileNetV2,320,Apple M4 CPU,60.84,248.7,4.09,2.04
MobileNetV2,320,Qualcomm QCS6490,619.19,571.8,0.92,2.04
MobileNetV2,320,RTX PRO 6000 Max-Q,939.4,1785.07,1.9,2.04
MobileNetV2,448,Hailo-8,218.35,601.5,2.75,4.0
MobileNetV2,448,DeepX M1,267.37,613.33,2.29,4.0
MobileNetV2,448,Mobilint-ARIES,408.88,2913.39,7.13,4.0
MobileNetV2,448,Apple M4 ANE,634.14,631.99,1.0,4.0
MobileNetV2,448,Apple M4 CPU,36.56,129.9,3.55,4.0
MobileNetV2,448,Qualcomm QCS6490,371.46,373.33,1.01,4.0
MobileNetV2,448,RTX PRO 6000 Max-Q,661.34,1004.69,1.52,4.0
ResNet-50,112,Hailo-8,400.75,3046.11,7.6,0.25
ResNet-50,112,DeepX M1,499.03,1289.5,2.58,0.25
ResNet-50,112,Mobilint-ARIES,1040.57,2318.3,2.23,0.25
ResNet-50,112,Apple M4 ANE,1045.8,1031.44,0.99,0.25
ResNet-50,112,Apple M4 CPU,69.44,216.07,3.11,0.25
ResNet-50,112,Qualcomm QCS6490,248.85,296.42,1.19,0.25
ResNet-50,112,RTX PRO 6000 Max-Q,312.52,5535.11,17.71,0.25
ResNet-50,160,Hailo-8,293.32,1763.9,6.01,0.51
ResNet-50,160,DeepX M1,434.77,1185.95,2.73,0.51
ResNet-50,160,Mobilint-ARIES,816.9,2215.07,2.71,0.51
ResNet-50,160,Apple M4 ANE,945.68,941.21,1.0,0.51
ResNet-50,160,Apple M4 CPU,38.72,116.23,3.0,0.51
ResNet-50,160,Qualcomm QCS6490,381.78,397.58,1.04,0.51
ResNet-50,160,RTX PRO 6000 Max-Q,295.54,3562.69,12.05,0.51
ResNet-50,224,Hailo-8,237.05,923.28,3.89,1.0
ResNet-50,224,DeepX M1,318.46,929.26,2.92,1.0
ResNet-50,224,Mobilint-ARIES,507.36,1823.92,3.59,1.0
ResNet-50,224,Apple M4 ANE,799.34,797.78,1.0,1.0
ResNet-50,224,Apple M4 CPU,20.79,62.48,3.01,1.0
ResNet-50,224,Qualcomm QCS6490,336.41,329.27,0.98,1.0
ResNet-50,224,RTX PRO 6000 Max-Q,283.33,2085.59,7.36,1.0
ResNet-50,320,Hailo-8,171.06,532.12,3.11,2.04
ResNet-50,320,DeepX M1,214.22,595.97,2.78,2.04
ResNet-50,320,Mobilint-ARIES,258.99,1082.21,4.18,2.04
ResNet-50,320,Apple M4 ANE,429.14,435.26,1.01,2.04
ResNet-50,320,Apple M4 CPU,11.15,33.27,2.98,2.04
ResNet-50,320,Qualcomm QCS6490,207.76,206.55,0.99,2.04
ResNet-50,320,RTX PRO 6000 Max-Q,259.77,1013.58,3.9,2.04
ResNet-50,448,Hailo-8,65.71,138.38,2.11,4.0
ResNet-50,448,DeepX M1,126.31,311.82,2.47,4.0
ResNet-50,448,Mobilint-ARIES,128.44,555.88,4.33,4.0
ResNet-50,448,Apple M4 ANE,263.84,268.48,1.02,4.0
ResNet-50,448,Apple M4 CPU,6.05,16.8,2.78,4.0
ResNet-50,448,Qualcomm QCS6490,107.45,125.0,1.16,4.0
ResNet-50,448,RTX PRO 6000 Max-Q,199.46,550.96,2.76,4.0
