model,accelerator,min_res,max_res,min_latency_ms,max_latency_ms,latency_increase_ratio,pixel_increase_ratio,dimension_increase_ratio,scaling_exponent_beta,deviation_from_quadratic
MobileNetV2,Apple M4 ANE,48,448,0.201,1.577,7.85,87.111,9.333,1.04,0.96
MobileNetV2,Apple M4 CPU,48,448,1.566,27.351,17.468,87.111,9.333,1.352,0.648
MobileNetV2,DeepX M1,48,448,0.946,3.74,3.954,87.111,9.333,0.714,1.286
MobileNetV2,Hailo-8,48,448,1.009,4.58,4.538,87.111,9.333,0.747,1.253
MobileNetV2,Mobilint-ARIES,48,448,0.293,2.446,8.36,87.111,9.333,1.078,0.922
MobileNetV2,Qualcomm QCS6490,48,448,1.652,2.692,1.629,87.111,9.333,0.084,1.916
MobileNetV2,RTX PRO 6000 Max-Q,48,448,0.835,1.512,1.81,87.111,9.333,0.237,1.763
ResNet-50,Apple M4 ANE,48,448,0.924,3.79,4.104,87.111,9.333,0.746,1.254
ResNet-50,Apple M4 CPU,48,448,5.162,165.35,32.032,87.111,9.333,1.66,0.34
ResNet-50,DeepX M1,48,448,1.747,7.917,4.533,87.111,9.333,0.747,1.253
ResNet-50,Hailo-8,48,448,1.775,15.217,8.572,87.111,9.333,1.052,0.948
ResNet-50,Mobilint-ARIES,48,448,0.804,7.786,9.68,87.111,9.333,1.22,0.78
ResNet-50,Qualcomm QCS6490,48,448,3.399,9.306,2.738,87.111,9.333,0.419,1.581
ResNet-50,RTX PRO 6000 Max-Q,48,448,3.117,5.013,1.608,87.111,9.333,0.198,1.802
ResNet-101,Apple M4 ANE,48,448,1.485,6.045,4.071,87.111,9.333,0.745,1.255
ResNet-101,Apple M4 CPU,48,448,7.997,292.022,36.515,87.111,9.333,1.708,0.292
ResNet-101,DeepX M1,48,448,2.465,13.109,5.319,87.111,9.333,0.813,1.187
ResNet-101,Hailo-8,48,448,38.761,44.526,1.149,87.111,9.333,0.059,1.941
ResNet-101,Mobilint-ARIES,48,448,1.351,12.407,9.184,87.111,9.333,1.236,0.764
ResNet-101,Qualcomm QCS6490,48,448,5.059,13.421,2.653,87.111,9.333,0.465,1.535
ResNet-101,RTX PRO 6000 Max-Q,48,448,6.152,10.01,1.627,87.111,9.333,0.186,1.814
