model,accelerator,min_res,max_res,min_latency_ms,max_latency_ms,latency_increase,pixel_increase,dimension_increase,scaling_exponent_beta,deviation_from_quadratic
MobileNetV2,Apple M4 CPU,48,448,1.57,27.35,17.47,87.11,9.33,1.352,0.648
MobileNetV2,Apple M4 ANE,48,448,0.2,1.58,7.85,87.11,9.33,1.04,0.96
MobileNetV2,Mobilint-ARIES,48,448,0.29,2.45,8.36,87.11,9.33,1.078,0.922
MobileNetV2,DeepX M1,48,448,0.95,3.74,3.95,87.11,9.33,0.714,1.286
MobileNetV2,Hailo-8,48,448,1.01,4.58,4.54,87.11,9.33,0.747,1.253
MobileNetV2,Qualcomm QCS6490,48,448,1.65,2.69,1.63,87.11,9.33,0.084,1.916
MobileNetV2,RTX PRO 6000 Max-Q,48,448,0.84,1.51,1.81,87.11,9.33,0.237,1.763
ResNet-50,Apple M4 CPU,48,448,5.16,165.35,32.03,87.11,9.33,1.66,0.34
ResNet-50,Apple M4 ANE,48,448,0.92,3.79,4.1,87.11,9.33,0.746,1.254
ResNet-50,Mobilint-ARIES,48,448,0.8,7.79,9.68,87.11,9.33,1.22,0.78
ResNet-50,DeepX M1,48,448,1.75,7.92,4.53,87.11,9.33,0.747,1.253
ResNet-50,Hailo-8,48,448,1.78,15.22,8.57,87.11,9.33,1.052,0.948
ResNet-50,Qualcomm QCS6490,48,448,3.4,9.31,2.74,87.11,9.33,0.419,1.581
ResNet-50,RTX PRO 6000 Max-Q,48,448,3.12,5.01,1.61,87.11,9.33,0.198,1.802
ResNet-101,Apple M4 CPU,48,448,8.0,292.02,36.51,87.11,9.33,1.708,0.292
ResNet-101,Apple M4 ANE,48,448,1.48,6.04,4.07,87.11,9.33,0.745,1.255
ResNet-101,Mobilint-ARIES,48,448,1.35,12.41,9.18,87.11,9.33,1.236,0.764
ResNet-101,DeepX M1,48,448,2.46,13.11,5.32,87.11,9.33,0.813,1.187
ResNet-101,Hailo-8,48,448,38.76,44.53,1.15,87.11,9.33,0.059,1.941
ResNet-101,Qualcomm QCS6490,48,448,5.06,13.42,2.65,87.11,9.33,0.465,1.535
ResNet-101,RTX PRO 6000 Max-Q,48,448,6.15,10.01,1.63,87.11,9.33,0.186,1.814
