normalized_model,model_family,accelerator_type,accuracy,baseline_accuracy,accuracy_drop,accuracy_drop_percent
mobilenetv2_w0_25,MobileNetV2,Hailo-8,48.16,48.62,0.46000000000000085,0.9461127108185949
mobilenetv2_w0_5,MobileNetV2,Hailo-8,60.36,60.62,0.259999999999998,0.4289013526888783
mobilenetv2_w0_75,MobileNetV2,Hailo-8,65.8,66.19,0.39000000000000057,0.5892128720350516
mobilenetv2_w1_0,MobileNetV2,Hailo-8,67.89,68.22,0.3299999999999983,0.483729111697447
mobilenetv2_w1_5,MobileNetV2,Hailo-8,71.44,71.6,0.1599999999999966,0.22346368715083326
mobilenetv2_w2_0,MobileNetV2,Hailo-8,73.05,73.11,0.060000000000002274,0.08206811653672859
mobilenetv2_w0_5,MobileNetV2,Mobilint-ARIES,59.83,60.62,0.7899999999999991,1.3032002639392926
mobilenetv2_w0_25,MobileNetV2,Mobilint-ARIES,47.84,48.62,0.779999999999994,1.604278074866298
mobilenetv2_w0_75,MobileNetV2,Mobilint-ARIES,65.24,66.19,0.9500000000000028,1.4352621241879482
mobilenetv2_w1_0,MobileNetV2,Mobilint-ARIES,67.24,68.22,0.980000000000004,1.4365288771621285
mobilenetv2_w1_5,MobileNetV2,Mobilint-ARIES,71.44,71.6,0.1599999999999966,0.22346368715083326
mobilenetv2_w2_0,MobileNetV2,Mobilint-ARIES,71.97,73.11,1.1400000000000006,1.559294214197785
mobilenetv2_w2_0,MobileNetV2,Apple M4 ANE,73.1,73.11,0.010000000000005116,0.013678019422794577
mobilenetv2_w1_5,MobileNetV2,Apple M4 ANE,71.65,71.6,-0.05000000000001137,-0.06983240223465276
mobilenetv2_w1_0,MobileNetV2,Apple M4 ANE,68.18,68.22,0.03999999999999204,0.058633831720891295
mobilenetv2_w0_75,MobileNetV2,Apple M4 ANE,66.17,66.19,0.01999999999999602,0.030216044719740178
mobilenetv2_w0_25,MobileNetV2,Apple M4 ANE,48.59,48.62,0.02999999999999403,0.0617030028794612
mobilenetv2_w0_5,MobileNetV2,Apple M4 ANE,60.64,60.62,-0.020000000000003126,-0.03299241174530374
mobilenetv2_w0_5,MobileNetV2,DeepX M1,60.13,60.62,0.4899999999999949,0.8083140877598068
mobilenetv2_w0_25,MobileNetV2,DeepX M1,47.68,48.62,0.9399999999999977,1.933360756890164
mobilenetv2_w0_75,MobileNetV2,DeepX M1,65.76,66.19,0.4299999999999926,0.6496449614745319
mobilenetv2_w1_0,MobileNetV2,DeepX M1,68.28,68.22,-0.060000000000002274,-0.08795074758135778
mobilenetv2_w1_5,MobileNetV2,DeepX M1,71.27,71.6,0.3299999999999983,0.46089385474860106
mobilenetv2_w2_0,MobileNetV2,DeepX M1,72.93,73.11,0.1799999999999926,0.24620434961016632
mobilenetv2_w2_0,MobileNetV2,Qualcomm QCS6490,72.93,73.11,0.1799999999999926,0.24620434961016632
mobilenetv2_w1_5,MobileNetV2,Qualcomm QCS6490,71.44,71.6,0.1599999999999966,0.22346368715083326
mobilenetv2_w1_0,MobileNetV2,Qualcomm QCS6490,67.94,68.22,0.28000000000000114,0.41043682204632237
mobilenetv2_w0_75,MobileNetV2,Qualcomm QCS6490,65.62,66.19,0.5699999999999932,0.861157274512756
mobilenetv2_w0_5,MobileNetV2,Qualcomm QCS6490,59.86,60.62,0.759999999999998,1.253711646321343
mobilenetv2_w0_25,MobileNetV2,Qualcomm QCS6490,47.63,48.62,0.9899999999999949,2.036199095022614
mobilenetv2_w2_0,MobileNetV2,RTX PRO 6000 Max-Q,73.11,73.11,0.0,0.0
mobilenetv2_w1_5,MobileNetV2,RTX PRO 6000 Max-Q,71.6,71.6,0.0,0.0
