accelerator,model,throughput_original,throughput_scaled
Apple M4 CPU,convnext_base,15.30701126,29.06428281642729
Apple M4 CPU,convnext_small,24.82061663,33.84911282096451
Apple M4 CPU,convnext_tiny,46.48559535,40.192262402651615
Apple M4 CPU,densenet121,81.03998306,45.88498534725515
Apple M4 CPU,densenet169,66.71119805,43.88647246743462
Apple M4 CPU,densenet201,52.27869709,41.3907149496598
Apple M4 CPU,hf_vit_base_patch16_224,15.82035849,29.386980765173227
Apple M4 CPU,hf_vit_small_patch16_224,57.73109864,42.40512227478557
Apple M4 CPU,hf_vit_tiny_patch16_224,193.1672657,54.85450403389869
Apple M4 CPU,mobilenetv2_elu_w1_0,366.0109852,61.48311892286673
Apple M4 CPU,mobilenetv2_gelu_w1_0,309.8449066,59.7538172794606
Apple M4 CPU,mobilenetv2_hardswish_w1_0,357.1834397,61.22963867067632
Apple M4 CPU,mobilenetv2_leakyrelu_w1_0,469.2128576,64.0629866324966
Apple M4 CPU,mobilenetv2_mish_w1_0,107.3952555,48.78535502807433
Apple M4 CPU,mobilenetv2_prelu_w1_0,430.3748377,63.16544391962176
Apple M4 CPU,mobilenetv2_relu6_w1_0,469.3726612,64.06652436869707
Apple M4 CPU,mobilenetv2_relu_w1_0,471.968372,64.12382057208022
Apple M4 CPU,mobilenetv2_selu_w1_0,360.9973858,61.339912949878276
Apple M4 CPU,mobilenetv2_silu_w1_0,373.8770602,61.703905748674316
Apple M4 CPU,mobilenetv2_w0_25,1821.109207,78.16583626424236
Apple M4 CPU,mobilenetv2_w0_5,1038.250487,72.31991390501379
Apple M4 CPU,mobilenetv2_w0_75,598.2130114,66.5870283049382
Apple M4 CPU,mobilenetv2_w1_0,463.9720393,63.94629402729408
Apple M4 CPU,mobilenetv2_w1_5,244.2646381,57.28678144885394
Apple M4 CPU,mobilenetv2_w2_0,162.0845456,53.03823067282289
Apple M4 CPU,regnet_x_1_6gf,139.9353598,51.51851246108506
Apple M4 CPU,regnet_x_3_2gf,76.63320405,45.31015888682021
Apple M4 CPU,regnet_x_400mf,437.5074572,63.33618399505044
Apple M4 CPU,regnet_x_800mf,252.4715578,57.62945901266656
Apple M4 CPU,regnet_x_8gf,32.61210112,36.59472080563075
Apple M4 CPU,regnet_y_1_6gf,131.9442071,50.91078304729483
Apple M4 CPU,regnet_y_3_2gf,74.4070418,45.007245153079516
Apple M4 CPU,regnet_y_400mf,439.2509908,63.37749811905128
Apple M4 CPU,regnet_y_800mf,244.9634881,57.31640507430873
Apple M4 CPU,regnet_y_8gf,30.0480273,35.76857076431651
Apple M4 CPU,resnet101_w1_0,31.76308513,36.32835959819555
Apple M4 CPU,resnet10_w1_0,278.3325466,58.64093629741863
Apple M4 CPU,resnet18_elu_w1_0,132.552051,50.958277060775934
Apple M4 CPU,resnet18_gelu_w1_0,130.3885273,50.78823357398925
Apple M4 CPU,resnet18_hardswish_w1_0,134.4506528,51.105244668638605
Apple M4 CPU,resnet18_leakyrelu_w1_0,138.16048,51.38656371360918
Apple M4 CPU,resnet18_mish_w1_0,99.97633618,48.047209610947455
Apple M4 CPU,resnet18_prelu_w1_0,136.941907,51.29499412676657
Apple M4 CPU,resnet18_relu6_w1_0,138.3414391,51.400093454123265
Apple M4 CPU,resnet18_relu_w1_0,138.6733067,51.424860549355586
Apple M4 CPU,resnet18_selu_w1_0,133.9726785,51.068440415390484
Apple M4 CPU,resnet18_silu_w1_0,134.6197953,51.118237619585116
Apple M4 CPU,resnet18_w0_25,1258.573453,74.32173981262424
Apple M4 CPU,resnet18_w0_5,458.6186549,63.8257291148843
Apple M4 CPU,resnet18_w0_75,233.1712651,56.80489162442119
Apple M4 CPU,resnet18_w1_0,136.6272068,51.27121456542852
Apple M4 CPU,resnet18_w1_5,65.70157992,43.73006340152135
Apple M4 CPU,resnet18_w2_0,37.62785571,38.04281000489932
Apple M4 CPU,resnet34_w1_0,68.79968404,44.20274761365843
Apple M4 CPU,resnet50_w0_25,692.7914183,68.11285602229094
Apple M4 CPU,resnet50_w0_5,223.2870921,56.35589309601457
Apple M4 CPU,resnet50_w0_75,108.1426572,48.856896521841755
Apple M4 CPU,resnet50_w1_0,62.19788449,43.168289566380864
Apple M4 CPU,resnet50_w1_5,28.26179303,35.15167102023835
Apple M4 CPU,resnet50_w2_0,16.34934545,29.70936635423258
Apple M4 CPU,resnext50_c16_w1_0,55.5725367,42.01526160152312
Apple M4 CPU,resnext50_c32_w1_0,29.86807304,35.708051041493675
Apple M4 CPU,resnext50_c64_w1_0,15.45510779,29.15840955861219
Apple M4 CPU,resnext50_c8_w1_0,97.99222354,47.84059737934009
Apple M4 CPU,shufflenet_v2_x1_0,1068.784916,72.6214042791284
Apple M4 CPU,shufflenet_v2_x1_5,627.2319292,67.07940478144769
Apple M4 CPU,shufflenet_v2_x2_0,344.4517703,60.852828720348874
Apple M4 ANE,convnext_base,12.69276019,27.245128808937718
Apple M4 ANE,convnext_small,19.12488428,31.254435033183217
Apple M4 ANE,convnext_tiny,35.16688106,37.357432146179335
Apple M4 ANE,densenet121,635.5998182,67.21716589983765
Apple M4 ANE,densenet169,879.5927138,70.59517094816073
Apple M4 ANE,densenet201,582.8520621,66.31665052347755
Apple M4 ANE,hf_vit_base_patch16_224,12.56804649,27.149867693674967
Apple M4 ANE,hf_vit_small_patch16_224,36.0585048,37.610990889240625
Apple M4 ANE,hf_vit_tiny_patch16_224,71.35966011,44.57775913990283
Apple M4 ANE,mobilenetv2_elu_w1_0,80.98189021,45.877610413823966
Apple M4 ANE,mobilenetv2_gelu_w1_0,68.31757094,44.130585899344574
Apple M4 ANE,mobilenetv2_hardswish_w1_0,1225.695387,74.04636725157566
Apple M4 ANE,mobilenetv2_leakyrelu_w1_0,2469.063702,81.33348216902965
