accelerator,model,throughput_original,throughput_scaled
Apple M4 CPU,convnext_base,4.999330037282039,18.653477874909743
Apple M4 CPU,convnext_small,7.850093743228951,22.70120631817406
Apple M4 CPU,convnext_tiny,14.951405423527707,28.83473107243957
Apple M4 CPU,densenet121,29.912239556078216,35.72293711935267
Apple M4 CPU,densenet169,24.534563505507073,33.73312721354766
Apple M4 CPU,densenet201,19.889244866394616,31.642542723548413
Apple M4 CPU,hf_vit_base_patch16_224,6.5294197223401484,21.018626768675425
Apple M4 CPU,hf_vit_small_patch16_224,21.59605860285903,32.46026149475415
Apple M4 CPU,hf_vit_tiny_patch16_224,69.70220634980618,44.336505353863934
Apple M4 CPU,mobilenetv2_elu_w1_0,107.2179231755631,48.76830832882256
Apple M4 CPU,mobilenetv2_gelu_w1_0,86.31670226099887,46.53397743857118
Apple M4 CPU,mobilenetv2_hardswish_w1_0,103.74751109487451,48.428958571039324
Apple M4 CPU,mobilenetv2_leakyrelu_w1_0,120.29613103215269,49.956117929041646
Apple M4 CPU,mobilenetv2_mish_w1_0,47.71451727910912,40.45827947545663
Apple M4 CPU,mobilenetv2_prelu_w1_0,114.07284577721599,49.407756644950666
Apple M4 CPU,mobilenetv2_relu6_w1_0,120.18605749728202,49.946665568664656
Apple M4 CPU,mobilenetv2_relu_w1_0,120.61431169786331,49.98339294540292
Apple M4 CPU,mobilenetv2_selu_w1_0,105.70717896386411,48.621939660764376
Apple M4 CPU,mobilenetv2_silu_w1_0,102.0162139090076,48.25543873710983
Apple M4 CPU,mobilenetv2_w0_25,453.3885351889564,63.7065764038148
Apple M4 CPU,mobilenetv2_w0_5,257.1548253268044,57.82006886129427
Apple M4 CPU,mobilenetv2_w0_75,150.26220733391747,52.25473525234214
Apple M4 CPU,mobilenetv2_w1_0,120.31392863221535,49.957645459259425
Apple M4 CPU,mobilenetv2_w1_5,68.64517624168484,44.179675613764054
Apple M4 CPU,mobilenetv2_w2_0,47.291615426989544,40.36750153650346
Apple M4 CPU,regnet_x_1_6gf,51.728079057703354,41.282557141020185
Apple M4 CPU,regnet_x_3_2gf,28.166917474054102,35.117859430981895
Apple M4 CPU,regnet_x_400mf,152.47813607811077,52.40615086698852
Apple M4 CPU,regnet_x_800mf,91.309076544513,47.11285605450136
Apple M4 CPU,regnet_x_8gf,12.272514197782044,26.92058668655692
Apple M4 CPU,regnet_y_1_6gf,48.10218208776254,40.540803959701115
Apple M4 CPU,regnet_y_3_2gf,27.34893374895231,34.82170136521366
Apple M4 CPU,regnet_y_400mf,137.4669830734685,51.33454972117126
Apple M4 CPU,regnet_y_800mf,72.39074316691651,44.72506780744531
Apple M4 CPU,regnet_y_8gf,11.394314763714865,26.20785237282834
Apple M4 CPU,resnet101_w1_0,11.986776581720788,26.69399773118735
Apple M4 CPU,resnet10_w1_0,101.40838339876716,48.19382628554455
Apple M4 CPU,resnet18_elu_w1_0,49.89855088196275,40.91489405550888
Apple M4 CPU,resnet18_gelu_w1_0,47.791352947160426,40.47468799390324
Apple M4 CPU,resnet18_hardswish_w1_0,49.593847761779415,40.852379397390706
Apple M4 CPU,resnet18_leakyrelu_w1_0,50.651588235886,41.06780030734253
Apple M4 CPU,resnet18_mish_w1_0,41.033608346717834,38.9225259283226
Apple M4 CPU,resnet18_prelu_w1_0,49.98312219912702,40.932178853047226
Apple M4 CPU,resnet18_relu6_w1_0,50.66571394047522,41.070647220606055
Apple M4 CPU,resnet18_relu_w1_0,50.675547848318246,41.072628699935585
