task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,65.15,202.8547794,Hailo-8,convnext_base
Image Classification,Offline,0.1,35.40377254,Hailo-8,convnext_small
Image Classification,Offline,72.51,104.2478652,Hailo-8,convnext_tiny
Image Classification,Offline,84.51,279.0560907,Mobilint-ARIES,convnext_base
Image Classification,Offline,84.03,435.3984148,Mobilint-ARIES,convnext_small
Image Classification,Offline,83.15,737.3280624,Mobilint-ARIES,convnext_tiny
Image Classification,Offline,84.6,0.745847997,DeepX M1,convnext_base
Image Classification,Offline,84.29,1.207654376,DeepX M1,convnext_small
Image Classification,Offline,83.18,2.211726807,DeepX M1,convnext_tiny
Image Classification,Offline,83.27,35.16688106,Apple M4 ANE,convnext_tiny
Image Classification,Offline,84.31,19.12488428,Apple M4 ANE,convnext_small
Image Classification,Offline,84.53,12.69276019,Apple M4 ANE,convnext_base
Image Classification,Offline,83.26,46.48559535,Apple M4 CPU,convnext_tiny
Image Classification,Offline,84.32,24.82061663,Apple M4 CPU,convnext_small
Image Classification,Offline,84.52,15.30701126,Apple M4 CPU,convnext_base
Image Classification,Offline,83.26,1127.162698,RTX PRO 6000 Max-Q,convnext_tiny
Image Classification,Offline,84.32,655.5449263,RTX PRO 6000 Max-Q,convnext_small
Image Classification,Offline,84.52,411.3296311,RTX PRO 6000 Max-Q,convnext_base
Image Classification,Offline,81.21,5.331936783,Qualcomm QCS6490,convnext_base
Image Classification,Offline,79.95,6.498368333,Qualcomm QCS6490,convnext_small
Image Classification,Offline,81.04,11.35123669,Qualcomm QCS6490,convnext_tiny
