task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,65.15,96.61996053,Hailo-8,convnext_base
Image Classification,Single-Stream,0.1,72.47706184,Hailo-8,convnext_small
Image Classification,Single-Stream,72.51,33.94591233,Hailo-8,convnext_tiny
Image Classification,Single-Stream,84.51,17.53911553,Mobilint-ARIES,convnext_base
Image Classification,Single-Stream,84.03,12.56882725,Mobilint-ARIES,convnext_small
Image Classification,Single-Stream,83.15,8.490422054,Mobilint-ARIES,convnext_tiny
Image Classification,Single-Stream,84.6,1351.723471,DeepX M1,convnext_base
Image Classification,Single-Stream,84.29,839.1928946,DeepX M1,convnext_small
Image Classification,Single-Stream,83.18,461.0793283,DeepX M1,convnext_tiny
Image Classification,Single-Stream,81.7,533.9507232,Qualcomm QCS6490,convnext_base
Image Classification,Single-Stream,80.29,451.7396366,Qualcomm QCS6490,convnext_small
Image Classification,Single-Stream,81.63,241.1747688,Qualcomm QCS6490,convnext_tiny
Image Classification,Single-Stream,83.27,101.3892713,Apple M4 ANE,convnext_tiny
Image Classification,Single-Stream,84.31,169.064734,Apple M4 ANE,convnext_small
Image Classification,Single-Stream,84.53,254.0753909,Apple M4 ANE,convnext_base
Image Classification,Single-Stream,83.26,66.88334452,Apple M4 CPU,convnext_tiny
Image Classification,Single-Stream,84.32,127.3870138,Apple M4 CPU,convnext_small
Image Classification,Single-Stream,84.52,200.0268021,Apple M4 CPU,convnext_base
Image Classification,Single-Stream,83.26,2.452316338,RTX PRO 6000 Max-Q,convnext_tiny
Image Classification,Single-Stream,84.32,4.400136241,RTX PRO 6000 Max-Q,convnext_small
Image Classification,Single-Stream,84.52,5.435085375,RTX PRO 6000 Max-Q,convnext_base
