task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,75.93,1868.707307,Mobilint-ARIES,densenet121
Image Classification,Offline,77.32,1191.806389,Mobilint-ARIES,densenet169
Image Classification,Offline,78.0,618.555262,Mobilint-ARIES,densenet201
Image Classification,Offline,77.97,582.8520621,Apple M4 ANE,densenet201
Image Classification,Offline,77.84,879.5927138,Apple M4 ANE,densenet169
Image Classification,Offline,76.18,635.5998182,Apple M4 ANE,densenet121
Image Classification,Offline,77.94,52.27869709,Apple M4 CPU,densenet201
Image Classification,Offline,77.77,66.71119805,Apple M4 CPU,densenet169
Image Classification,Offline,76.19,81.03998306,Apple M4 CPU,densenet121
Image Classification,Offline,77.94,1065.76008,RTX PRO 6000 Max-Q,densenet201
Image Classification,Offline,77.77,1345.88887,RTX PRO 6000 Max-Q,densenet169
Image Classification,Offline,76.19,1749.523456,RTX PRO 6000 Max-Q,densenet121
Image Classification,Offline,74.85,13.25490889,Qualcomm QCS6490,densenet201
Image Classification,Offline,75.92,17.00539692,Qualcomm QCS6490,densenet169
Image Classification,Offline,71.7,23.44619857,Qualcomm QCS6490,densenet121
