task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,75.93,2.899873834,Mobilint-ARIES,densenet121
Image Classification,Single-Stream,77.32,4.33646539,Mobilint-ARIES,densenet169
Image Classification,Single-Stream,78.0,6.982814855,Mobilint-ARIES,densenet201
Image Classification,Single-Stream,74.85,191.6736077,Qualcomm QCS6490,densenet201
Image Classification,Single-Stream,75.92,135.5391514,Qualcomm QCS6490,densenet169
Image Classification,Single-Stream,71.7,96.07934996,Qualcomm QCS6490,densenet121
Image Classification,Single-Stream,77.97,2.902063145,Apple M4 ANE,densenet201
Image Classification,Single-Stream,77.84,2.273896649,Apple M4 ANE,densenet169
Image Classification,Single-Stream,76.18,1.865539633,Apple M4 ANE,densenet121
Image Classification,Single-Stream,77.94,50.27842971,Apple M4 CPU,densenet201
Image Classification,Single-Stream,77.77,40.7588258,Apple M4 CPU,densenet169
Image Classification,Single-Stream,76.19,33.43113103,Apple M4 CPU,densenet121
Image Classification,Single-Stream,77.94,10.94228603,RTX PRO 6000 Max-Q,densenet201
Image Classification,Single-Stream,77.77,7.631466035,RTX PRO 6000 Max-Q,densenet169
Image Classification,Single-Stream,76.19,5.013381785,RTX PRO 6000 Max-Q,densenet121
