task,scenario,accuracy,epoch_samples_per_second_min,samples_per_second,epoch_samples_per_second_max,cpu_type,accelerator_type,submitter,input_resolution,benchmark_model
Image Classification,Offline,59.23,601.495807,601.495807,601.495807,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:448,mobilenetv2_w1_0
Image Classification,Offline,73.5,106.1414268,106.1414268,106.1414268,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:448,resnet101_w1_0
Image Classification,Offline,71.98,138.3758548,138.3758548,138.3758548,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:448,resnet50_w1_0
Image Classification,Offline,59.22,640.5538299,640.5538299,640.5538299,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:432,mobilenetv2_w1_0
Image Classification,Offline,74.42,121.4289796,121.4289796,121.4289796,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:432,resnet101_w1_0
Image Classification,Offline,72.32,132.6138199,132.6138199,132.6138199,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:432,resnet50_w1_0
Image Classification,Offline,61.09,656.7933803,656.7933803,656.7933803,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:416,mobilenetv2_w1_0
Image Classification,Offline,75.6,127.8351271,127.8351271,127.8351271,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:416,resnet101_w1_0
Image Classification,Offline,73.04,131.5135185,131.5135185,131.5135185,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:416,resnet50_w1_0
Image Classification,Offline,61.71,688.3059081,688.3059081,688.3059081,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:400,mobilenetv2_w1_0
Image Classification,Offline,75.89,125.5166735,125.5166735,125.5166735,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:400,resnet101_w1_0
Image Classification,Offline,73.25,184.1810095,184.1810095,184.1810095,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:400,resnet50_w1_0
Image Classification,Offline,63.24,812.9958353,812.9958353,812.9958353,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:384,mobilenetv2_w1_0
Image Classification,Offline,76.45,110.2334569,110.2334569,110.2334569,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:384,resnet101_w1_0
Image Classification,Offline,73.94,216.5935006,216.5935006,216.5935006,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:384,resnet50_w1_0
Image Classification,Offline,63.48,857.4979812,857.4979812,857.4979812,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:368,mobilenetv2_w1_0
Image Classification,Offline,76.27,172.1222837,172.1222837,172.1222837,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:368,resnet101_w1_0
Image Classification,Offline,74.13,236.4356758,236.4356758,236.4356758,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:368,resnet50_w1_0
Image Classification,Offline,64.7,916.805872,916.805872,916.805872,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:352,mobilenetv2_w1_0
Image Classification,Offline,77.19,174.7164097,174.7164097,174.7164097,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:352,resnet101_w1_0
Image Classification,Offline,74.71,255.1238514,255.1238514,255.1238514,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:352,resnet50_w1_0
Image Classification,Offline,64.37,958.511626,958.511626,958.511626,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:336,mobilenetv2_w1_0
Image Classification,Offline,77.06,184.8142273,184.8142273,184.8142273,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:336,resnet101_w1_0
Image Classification,Offline,74.87,274.3359454,274.3359454,274.3359454,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:336,resnet50_w1_0
Image Classification,Offline,65.56,1060.265668,1060.265668,1060.265668,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:320,mobilenetv2_w1_0
Image Classification,Offline,77.69,197.1535366,197.1535366,197.1535366,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:320,resnet101_w1_0
Image Classification,Offline,75.21,532.1249774,532.1249774,532.1249774,Broadcom BCM2712 quad-core Arm Cortex A76 processor @ 2.4GHz,Hailo-8,"Hailo(Compiler : 3.31v, Runtime : v4.23, Offlinemode)",inputResolution:320,resnet50_w1_0
