task,scenario,accuracy,sample_latency_average,accelerator_type,input_resolution,benchmark_model
Image Classification,Single-Stream,74.42,43.34425013,Hailo-8,inputResolution:432,resnet101_w1_0
Image Classification,Single-Stream,59.22,4.55182184,Hailo-8,inputResolution:432,mobilenetv2_w1_0
Image Classification,Single-Stream,72.32,15.27144727,Hailo-8,inputResolution:432,resnet50_w1_0
Image Classification,Single-Stream,59.23,4.579708984,Hailo-8,inputResolution:448,mobilenetv2_w1_0
Image Classification,Single-Stream,73.5,44.52570155,Hailo-8,inputResolution:448,resnet101_w1_0
Image Classification,Single-Stream,71.98,15.21725651,Hailo-8,inputResolution:448,resnet50_w1_0
Image Classification,Single-Stream,61.09,4.438252285,Hailo-8,inputResolution:416,mobilenetv2_w1_0
Image Classification,Single-Stream,75.6,42.47795812,Hailo-8,inputResolution:416,resnet101_w1_0
Image Classification,Single-Stream,73.25,12.63654175,Hailo-8,inputResolution:400,resnet50_w1_0
Image Classification,Single-Stream,76.27,38.44954128,Hailo-8,inputResolution:368,resnet101_w1_0
Image Classification,Single-Stream,77.69,41.87949669,Hailo-8,inputResolution:320,resnet101_w1_0
Image Classification,Single-Stream,75.55,7.199365793,Hailo-8,inputResolution:272,resnet50_w1_0
Image Classification,Single-Stream,76.06,4.652277677,Hailo-8,inputResolution:256,resnet50_w1_0
Image Classification,Single-Stream,66.52,2.190724349,Hailo-8,inputResolution:240,mobilenetv2_w1_0
Image Classification,Single-Stream,77.41,36.38804929,Hailo-8,inputResolution:208,resnet101_w1_0
Image Classification,Single-Stream,73.04,15.09645479,Hailo-8,inputResolution:416,resnet50_w1_0
Image Classification,Single-Stream,75.89,43.20858355,Hailo-8,inputResolution:400,resnet101_w1_0
Image Classification,Single-Stream,64.37,3.598661464,Hailo-8,inputResolution:336,mobilenetv2_w1_0
Image Classification,Single-Stream,77.06,39.52174526,Hailo-8,inputResolution:336,resnet101_w1_0
Image Classification,Single-Stream,78.33,41.46434819,Hailo-8,inputResolution:256,resnet101_w1_0
Image Classification,Single-Stream,67.78,2.063938614,Hailo-8,inputResolution:224,mobilenetv2_w1_0
Image Classification,Single-Stream,79.21,40.3909452,Hailo-8,inputResolution:224,resnet101_w1_0
Image Classification,Single-Stream,76.94,4.218466388,Hailo-8,inputResolution:224,resnet50_w1_0
Image Classification,Single-Stream,75.38,3.937355282,Hailo-8,inputResolution:208,resnet50_w1_0
Image Classification,Single-Stream,63.24,3.894416585,Hailo-8,inputResolution:384,mobilenetv2_w1_0
Image Classification,Single-Stream,73.94,11.23702521,Hailo-8,inputResolution:384,resnet50_w1_0
Image Classification,Single-Stream,74.13,10.60068709,Hailo-8,inputResolution:368,resnet50_w1_0
Image Classification,Single-Stream,75.21,5.84603684,Hailo-8,inputResolution:320,resnet50_w1_0
Image Classification,Single-Stream,66.54,3.053083516,Hailo-8,inputResolution:288,mobilenetv2_w1_0
Image Classification,Single-Stream,77.75,37.10162036,Hailo-8,inputResolution:288,resnet101_w1_0
Image Classification,Single-Stream,66.13,3.011676912,Hailo-8,inputResolution:272,mobilenetv2_w1_0
Image Classification,Single-Stream,78.05,40.98676703,Hailo-8,inputResolution:272,resnet101_w1_0
Image Classification,Single-Stream,78.29,40.64725793,Hailo-8,inputResolution:240,resnet101_w1_0
Image Classification,Single-Stream,75.78,4.456121764,Hailo-8,inputResolution:240,resnet50_w1_0
Image Classification,Single-Stream,65.1,2.091299419,Hailo-8,inputResolution:208,mobilenetv2_w1_0
Image Classification,Single-Stream,61.71,4.394939173,Hailo-8,inputResolution:400,mobilenetv2_w1_0
Image Classification,Single-Stream,76.45,46.48687117,Hailo-8,inputResolution:384,resnet101_w1_0
Image Classification,Single-Stream,63.48,3.870734224,Hailo-8,inputResolution:368,mobilenetv2_w1_0
Image Classification,Single-Stream,64.7,3.686675467,Hailo-8,inputResolution:352,mobilenetv2_w1_0
Image Classification,Single-Stream,77.19,42.19670378,Hailo-8,inputResolution:352,resnet101_w1_0
Image Classification,Single-Stream,74.71,10.35262594,Hailo-8,inputResolution:352,resnet50_w1_0
Image Classification,Single-Stream,74.87,9.275794027,Hailo-8,inputResolution:336,resnet50_w1_0
Image Classification,Single-Stream,65.56,3.294773334,Hailo-8,inputResolution:320,mobilenetv2_w1_0
Image Classification,Single-Stream,65.8,3.326617006,Hailo-8,inputResolution:304,mobilenetv2_w1_0
Image Classification,Single-Stream,78.1,41.83640383,Hailo-8,inputResolution:304,resnet101_w1_0
Image Classification,Single-Stream,75.37,7.501052719,Hailo-8,inputResolution:304,resnet50_w1_0
Image Classification,Single-Stream,75.29,6.883395866,Hailo-8,inputResolution:288,resnet50_w1_0
Image Classification,Single-Stream,66.54,2.271915772,Hailo-8,inputResolution:256,mobilenetv2_w1_0
Image Classification,Single-Stream,64.82,2.012563564,Hailo-8,inputResolution:192,mobilenetv2_w1_0
Image Classification,Single-Stream,72.02,3.409273696,Hailo-8,inputResolution:160,resnet50_w1_0
Image Classification,Single-Stream,72.54,39.71849223,Hailo-8,inputResolution:144,resnet101_w1_0
Image Classification,Single-Stream,77.13,39.84430224,Hailo-8,inputResolution:192,resnet101_w1_0
Image Classification,Single-Stream,73.47,3.604127169,Hailo-8,inputResolution:176,resnet50_w1_0
Image Classification,Single-Stream,58.79,1.816652804,Hailo-8,inputResolution:144,mobilenetv2_w1_0
Image Classification,Single-Stream,48.42,1.351738583,Hailo-8,inputResolution:112,mobilenetv2_w1_0
Image Classification,Single-Stream,63.93,1.974331688,Hailo-8,inputResolution:176,mobilenetv2_w1_0
Image Classification,Single-Stream,75.97,39.69135931,Hailo-8,inputResolution:176,resnet101_w1_0
Image Classification,Single-Stream,53.96,1.356433811,Hailo-8,inputResolution:128,mobilenetv2_w1_0
Image Classification,Single-Stream,74.54,3.520207552,Hailo-8,inputResolution:192,resnet50_w1_0
Image Classification,Single-Stream,61.53,1.905683025,Hailo-8,inputResolution:160,mobilenetv2_w1_0
Image Classification,Single-Stream,74.85,39.43656505,Hailo-8,inputResolution:160,resnet101_w1_0
Image Classification,Single-Stream,69.76,3.120916689,Hailo-8,inputResolution:144,resnet50_w1_0
Image Classification,Single-Stream,69.76,39.64823973,Hailo-8,inputResolution:128,resnet101_w1_0
Image Classification,Single-Stream,66.47,2.420682742,Hailo-8,inputResolution:128,resnet50_w1_0
Image Classification,Single-Stream,65.02,39.21659887,Hailo-8,inputResolution:112,resnet101_w1_0
Image Classification,Single-Stream,29.25,1.263719249,Hailo-8,inputResolution:80,mobilenetv2_w1_0
Image Classification,Single-Stream,56.67,39.27524108,Hailo-8,inputResolution:96,resnet101_w1_0
Image Classification,Single-Stream,46.29,35.40232683,Hailo-8,inputResolution:80,resnet101_w1_0
Image Classification,Single-Stream,39.5,1.299276715,Hailo-8,inputResolution:96,mobilenetv2_w1_0
Image Classification,Single-Stream,53.84,2.23119103,Hailo-8,inputResolution:96,resnet50_w1_0
Image Classification,Single-Stream,62.18,2.495349153,Hailo-8,inputResolution:112,resnet50_w1_0
Image Classification,Single-Stream,43.62,2.266867668,Hailo-8,inputResolution:80,resnet50_w1_0
Image Classification,Single-Stream,16.59,1.098134326,Hailo-8,inputResolution:64,mobilenetv2_w1_0
