task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,79.54,2205.405278,Hailo-8,regnet_x_1_6gf
Image Classification,Offline,81.82,1487.972967,Hailo-8,regnet_x_3_2gf
Image Classification,Offline,75.87,3194.900399,Hailo-8,regnet_x_400mf
Image Classification,Offline,78.03,2810.529096,Hailo-8,regnet_x_800mf
Image Classification,Offline,81.05,366.0036302,Hailo-8,regnet_x_8gf
Image Classification,Offline,82.37,410.6280649,Hailo-8,regnet_y_3_2gf
Image Classification,Offline,79.82,1029.017473,Hailo-8,regnet_y_800mf
Image Classification,Offline,78.84,664.7458730000002,DeepX M1,regnet_x_1_6gf
Image Classification,Offline,80.99,498.2057369,DeepX M1,regnet_x_3_2gf
Image Classification,Offline,82.07,241.3991782,DeepX M1,regnet_x_8gf
Image Classification,Offline,75.98,1184.018077,DeepX M1,regnet_x_400mf
Image Classification,Offline,77.91,932.2540949,DeepX M1,regnet_x_800mf
Image Classification,Offline,81.97,610.6085879,DeepX M1,regnet_y_1_6gf
Image Classification,Offline,82.23,321.9953963,DeepX M1,regnet_y_3_2gf
Image Classification,Offline,83.72,195.7964116,DeepX M1,regnet_y_8gf
Image Classification,Offline,77.22,1446.301331,DeepX M1,regnet_y_400mf
Image Classification,Offline,79.13,1065.373876,DeepX M1,regnet_y_800mf
Image Classification,Offline,79.75,1197.611689,Mobilint-ARIES,regnet_x_1_6gf
Image Classification,Offline,81.24,902.2196969,Mobilint-ARIES,regnet_x_3_2gf
Image Classification,Offline,82.51,321.7624364,Mobilint-ARIES,regnet_x_8gf
Image Classification,Offline,75.49,2063.842389,Mobilint-ARIES,regnet_x_400mf
Image Classification,Offline,78.28,1561.735196,Mobilint-ARIES,regnet_x_800mf
Image Classification,Offline,81.86,967.1134548,Mobilint-ARIES,regnet_y_1_6gf
Image Classification,Offline,82.15,467.7409131,Mobilint-ARIES,regnet_y_3_2gf
Image Classification,Offline,83.52,213.198233,Mobilint-ARIES,regnet_y_8gf
Image Classification,Offline,77.54,2108.447922,Mobilint-ARIES,regnet_y_400mf
Image Classification,Offline,79.67,1539.782835,Mobilint-ARIES,regnet_y_800mf
Image Classification,Offline,80.29,2103.113405,Apple M4 ANE,regnet_y_800mf
Image Classification,Offline,77.72,2617.027288,Apple M4 ANE,regnet_y_400mf
Image Classification,Offline,83.79,463.8567179,Apple M4 ANE,regnet_y_8gf
Image Classification,Offline,82.58,1041.38626,Apple M4 ANE,regnet_y_3_2gf
Image Classification,Offline,82.17,1621.505659,Apple M4 ANE,regnet_y_1_6gf
Image Classification,Offline,78.55,2086.02646,Apple M4 ANE,regnet_x_800mf
Image Classification,Offline,76.4,2724.549389,Apple M4 ANE,regnet_x_400mf
Image Classification,Offline,82.58,604.7883266,Apple M4 ANE,regnet_x_8gf
Image Classification,Offline,81.84,1156.491987,Apple M4 ANE,regnet_x_3_2gf
Image Classification,Offline,80.42,1732.757878,Apple M4 ANE,regnet_x_1_6gf
Image Classification,Offline,80.32,244.9634881,Apple M4 CPU,regnet_y_800mf
Image Classification,Offline,77.7,439.2509908,Apple M4 CPU,regnet_y_400mf
Image Classification,Offline,83.8,30.0480273,Apple M4 CPU,regnet_y_8gf
Image Classification,Offline,82.56,74.4070418,Apple M4 CPU,regnet_y_3_2gf
Image Classification,Offline,82.18,131.9442071,Apple M4 CPU,regnet_y_1_6gf
Image Classification,Offline,78.55,252.47155780000003,Apple M4 CPU,regnet_x_800mf
Image Classification,Offline,76.34,437.5074572,Apple M4 CPU,regnet_x_400mf
Image Classification,Offline,82.56,32.61210112,Apple M4 CPU,regnet_x_8gf
Image Classification,Offline,81.82,76.63320405,Apple M4 CPU,regnet_x_3_2gf
Image Classification,Offline,80.43,139.9353598,Apple M4 CPU,regnet_x_1_6gf
Image Classification,Offline,80.32,3302.301816,RTX PRO 6000 Max-Q,regnet_y_800mf
Image Classification,Offline,77.7,3676.731174,RTX PRO 6000 Max-Q,regnet_y_400mf
Image Classification,Offline,83.8,1216.971585,RTX PRO 6000 Max-Q,regnet_y_8gf
Image Classification,Offline,82.56,1862.08394,RTX PRO 6000 Max-Q,regnet_y_3_2gf
Image Classification,Offline,82.18,2396.104196,RTX PRO 6000 Max-Q,regnet_y_1_6gf
Image Classification,Offline,78.55,3551.488751,RTX PRO 6000 Max-Q,regnet_x_800mf
Image Classification,Offline,76.34,3794.607584,RTX PRO 6000 Max-Q,regnet_x_400mf
Image Classification,Offline,82.56,1391.277675,RTX PRO 6000 Max-Q,regnet_x_8gf
Image Classification,Offline,81.82,2160.228231,RTX PRO 6000 Max-Q,regnet_x_3_2gf
Image Classification,Offline,80.43,2802.715067,RTX PRO 6000 Max-Q,regnet_x_1_6gf
Image Classification,Offline,83.02,176.4073015,Qualcomm QCS6490,regnet_y_8gf
Image Classification,Offline,79.83,235.2565179,Qualcomm QCS6490,regnet_x_8gf
Image Classification,Offline,81.64,249.7463752,Qualcomm QCS6490,regnet_y_3_2gf
Image Classification,Offline,81.62,359.0831189,Qualcomm QCS6490,regnet_x_3_2gf
Image Classification,Offline,81.54,333.4168782,Qualcomm QCS6490,regnet_y_1_6gf
Image Classification,Offline,78.6,461.7005874,Qualcomm QCS6490,regnet_x_1_6gf
Image Classification,Offline,77.78,681.9154696,Qualcomm QCS6490,regnet_x_800mf
Image Classification,Offline,79.45,572.0708566000002,Qualcomm QCS6490,regnet_y_800mf
Image Classification,Offline,75.77,696.5440476,Qualcomm QCS6490,regnet_x_400mf
Image Classification,Offline,77.56,470.4351551,Qualcomm QCS6490,regnet_y_400mf
Image Classification,Offline,85.833,125.258,NVIDIA Jetson Orin,regnet_y_800mf
Image Classification,Offline,83.333,142.283,NVIDIA Jetson Orin,regnet_y_400mf
Image Classification,Offline,91.667,39.51,NVIDIA Jetson Orin,regnet_y_8gf
Image Classification,Offline,88.333,84.02,NVIDIA Jetson Orin,regnet_y_3_2gf
Image Classification,Offline,89.167,77.939,NVIDIA Jetson Orin,regnet_y_1_6gf
Image Classification,Offline,85.833,145.87,NVIDIA Jetson Orin,regnet_x_800mf
Image Classification,Offline,85.0,186.735,NVIDIA Jetson Orin,regnet_x_400mf
Image Classification,Offline,85.0,71.83800000000001,NVIDIA Jetson Orin,regnet_x_8gf
Image Classification,Offline,89.167,53.81399999999999,NVIDIA Jetson Orin,regnet_x_3_2gf
Image Classification,Offline,83.333,124.85,NVIDIA Jetson Orin,regnet_x_1_6gf
