task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,79.54,2.614390047,Hailo-8,regnet_x_1_6gf
Image Classification,Single-Stream,81.82,4.341267412,Hailo-8,regnet_x_3_2gf
Image Classification,Single-Stream,75.87,1.697907299,Hailo-8,regnet_x_400mf
Image Classification,Single-Stream,78.03,1.744946209,Hailo-8,regnet_x_800mf
Image Classification,Single-Stream,81.05,31.93828642,Hailo-8,regnet_x_8gf
Image Classification,Single-Stream,82.37,21.08292308,Hailo-8,regnet_y_3_2gf
Image Classification,Single-Stream,79.82,8.394876106,Hailo-8,regnet_y_800mf
Image Classification,Single-Stream,79.75,2.86329746,Mobilint-ARIES,regnet_x_1_6gf
Image Classification,Single-Stream,81.24,3.803237981,Mobilint-ARIES,regnet_x_3_2gf
Image Classification,Single-Stream,82.51,8.421582613,Mobilint-ARIES,regnet_x_8gf
Image Classification,Single-Stream,75.49,1.293855402,Mobilint-ARIES,regnet_x_400mf
Image Classification,Single-Stream,78.28,1.784762988,Mobilint-ARIES,regnet_x_800mf
Image Classification,Single-Stream,81.86,4.165160141,Mobilint-ARIES,regnet_y_1_6gf
Image Classification,Single-Stream,82.15,7.34609392,Mobilint-ARIES,regnet_y_3_2gf
Image Classification,Single-Stream,83.52,14.67188183,Mobilint-ARIES,regnet_y_8gf
Image Classification,Single-Stream,77.54,1.844341745,Mobilint-ARIES,regnet_y_400mf
Image Classification,Single-Stream,79.67,2.381508656,Mobilint-ARIES,regnet_y_800mf
Image Classification,Single-Stream,78.84,4.575054028,DeepX M1,regnet_x_1_6gf
Image Classification,Single-Stream,80.99,5.721800768,DeepX M1,regnet_x_3_2gf
Image Classification,Single-Stream,82.07,11.43434367,DeepX M1,regnet_x_8gf
Image Classification,Single-Stream,75.98,2.388659332,DeepX M1,regnet_x_400mf
Image Classification,Single-Stream,77.91,3.163603466,DeepX M1,regnet_x_800mf
Image Classification,Single-Stream,81.97,4.934375383,DeepX M1,regnet_y_1_6gf
Image Classification,Single-Stream,82.23,7.946354625,DeepX M1,regnet_y_3_2gf
