task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,67.28,3775.303916,Mobilint-ARIES,resnet18_elu_w1_0
Image Classification,Offline,71.48,3779.474504,Mobilint-ARIES,resnet18_gelu_w1_0
Image Classification,Offline,70.79,3643.014432,Mobilint-ARIES,resnet18_hardswish_w1_0
Image Classification,Offline,70.98,3610.044672,Mobilint-ARIES,resnet18_leakyrelu_w1_0
Image Classification,Offline,71.11,3612.694742,Mobilint-ARIES,resnet18_mish_w1_0
Image Classification,Offline,69.25,3527.123857,Mobilint-ARIES,resnet18_prelu_w1_0
Image Classification,Offline,70.86,3524.312932,Mobilint-ARIES,resnet18_relu_w1_0
Image Classification,Offline,71.14,3513.6495090000008,Mobilint-ARIES,resnet18_relu6_w1_0
Image Classification,Offline,64.51,3503.623282,Mobilint-ARIES,resnet18_selu_w1_0
Image Classification,Offline,71.25,3432.336115,Mobilint-ARIES,resnet18_silu_w1_0
Image Classification,Offline,72.16,1991.020501,DeepX M1,resnet18_gelu_w1_0
Image Classification,Offline,70.93,2006.213743,DeepX M1,resnet18_hardswish_w1_0
Image Classification,Offline,71.17,2032.594757,DeepX M1,resnet18_leakyrelu_w1_0
Image Classification,Offline,71.86,2018.697935,DeepX M1,resnet18_mish_w1_0
Image Classification,Offline,0.1,763.4139012999998,DeepX M1,resnet18_prelu_w1_0
Image Classification,Offline,71.03,2037.268891,DeepX M1,resnet18_relu6_w1_0
Image Classification,Offline,70.91,2079.379586,DeepX M1,resnet18_relu_w1_0
Image Classification,Offline,66.72,6.625202147,DeepX M1,resnet18_selu_w1_0
Image Classification,Offline,71.84,2038.939487,DeepX M1,resnet18_silu_w1_0
Image Classification,Offline,68.47,2279.295985,Hailo-8,resnet18_elu_w1_0
Image Classification,Offline,71.56,2281.545987,Hailo-8,resnet18_gelu_w1_0
Image Classification,Offline,70.79,2314.613761,Hailo-8,resnet18_hardswish_w1_0
Image Classification,Offline,71.35,2271.363566,Hailo-8,resnet18_leakyrelu_w1_0
Image Classification,Offline,71.64,2290.245767000001,Hailo-8,resnet18_mish_w1_0
Image Classification,Offline,69.56,1936.905885,Hailo-8,resnet18_prelu_w1_0
Image Classification,Offline,71.0,2340.283598,Hailo-8,resnet18_relu6_w1_0
Image Classification,Offline,70.79,2318.781481,Hailo-8,resnet18_relu_w1_0
Image Classification,Offline,72.09,2261.114978,Hailo-8,resnet18_silu_w1_0
Image Classification,Offline,72.47,1367.787392,Apple M4 ANE,resnet18_silu_w1_0
Image Classification,Offline,66.81,159.75328969999995,Apple M4 ANE,resnet18_selu_w1_0
Image Classification,Offline,71.22,1555.670027,Apple M4 ANE,resnet18_relu6_w1_0
Image Classification,Offline,71.04,1601.95344,Apple M4 ANE,resnet18_relu_w1_0
Image Classification,Offline,69.95,1599.61758,Apple M4 ANE,resnet18_prelu_w1_0
Image Classification,Offline,71.97,197.2474662,Apple M4 ANE,resnet18_mish_w1_0
Image Classification,Offline,71.5,1598.232775,Apple M4 ANE,resnet18_leakyrelu_w1_0
Image Classification,Offline,71.44,1296.863574,Apple M4 ANE,resnet18_hardswish_w1_0
Image Classification,Offline,72.23,139.553994,Apple M4 ANE,resnet18_gelu_w1_0
Image Classification,Offline,68.66,161.4118605,Apple M4 ANE,resnet18_elu_w1_0
Image Classification,Offline,72.54,134.61979530000002,Apple M4 CPU,resnet18_silu_w1_0
Image Classification,Offline,66.79,133.9726785,Apple M4 CPU,resnet18_selu_w1_0
Image Classification,Offline,71.24,138.34143909999997,Apple M4 CPU,resnet18_relu6_w1_0
Image Classification,Offline,71.03,138.67330669999998,Apple M4 CPU,resnet18_relu_w1_0
Image Classification,Offline,69.95,136.941907,Apple M4 CPU,resnet18_prelu_w1_0
Image Classification,Offline,71.96,99.97633618,Apple M4 CPU,resnet18_mish_w1_0
Image Classification,Offline,71.54,138.16048,Apple M4 CPU,resnet18_leakyrelu_w1_0
