task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,72.47,0.7310583390000001,Apple M4 ANE,resnet18_silu_w1_0
Image Classification,Single-Stream,66.81,5.467745496,Apple M4 ANE,resnet18_selu_w1_0
Image Classification,Single-Stream,71.22,0.645661806,Apple M4 ANE,resnet18_relu6_w1_0
Image Classification,Single-Stream,71.04,0.625275215,Apple M4 ANE,resnet18_relu_w1_0
Image Classification,Single-Stream,69.95,0.626477424,Apple M4 ANE,resnet18_prelu_w1_0
Image Classification,Single-Stream,71.97,11.097793199999998,Apple M4 ANE,resnet18_mish_w1_0
Image Classification,Single-Stream,71.5,0.625300861,Apple M4 ANE,resnet18_leakyrelu_w1_0
Image Classification,Single-Stream,71.44,0.77168316,Apple M4 ANE,resnet18_hardswish_w1_0
Image Classification,Single-Stream,72.23,10.21005335,Apple M4 ANE,resnet18_gelu_w1_0
Image Classification,Single-Stream,68.66,5.496482993,Apple M4 ANE,resnet18_elu_w1_0
Image Classification,Single-Stream,72.54,20.11195621,Apple M4 CPU,resnet18_silu_w1_0
Image Classification,Single-Stream,66.79,20.06627627,Apple M4 CPU,resnet18_selu_w1_0
Image Classification,Single-Stream,71.24,19.73721324,Apple M4 CPU,resnet18_relu6_w1_0
Image Classification,Single-Stream,71.03,19.73338311,Apple M4 CPU,resnet18_relu_w1_0
Image Classification,Single-Stream,69.95,20.0067534,Apple M4 CPU,resnet18_prelu_w1_0
Image Classification,Single-Stream,71.96,24.37026721,Apple M4 CPU,resnet18_mish_w1_0
Image Classification,Single-Stream,71.54,19.74271755,Apple M4 CPU,resnet18_leakyrelu_w1_0
Image Classification,Single-Stream,71.43,20.16379138,Apple M4 CPU,resnet18_hardswish_w1_0
Image Classification,Single-Stream,72.21,20.92428731,Apple M4 CPU,resnet18_gelu_w1_0
Image Classification,Single-Stream,68.68,20.04066215,Apple M4 CPU,resnet18_elu_w1_0
Image Classification,Single-Stream,67.28,1.126855796,Mobilint-ARIES,resnet18_elu_w1_0
Image Classification,Single-Stream,71.48,1.128771414,Mobilint-ARIES,resnet18_gelu_w1_0
Image Classification,Single-Stream,70.79,1.14682128,Mobilint-ARIES,resnet18_hardswish_w1_0
Image Classification,Single-Stream,70.98,1.143087877,Mobilint-ARIES,resnet18_leakyrelu_w1_0
Image Classification,Single-Stream,71.11,1.142917606,Mobilint-ARIES,resnet18_mish_w1_0
Image Classification,Single-Stream,69.25,1.131175211,Mobilint-ARIES,resnet18_prelu_w1_0
Image Classification,Single-Stream,70.86,1.12994947,Mobilint-ARIES,resnet18_relu_w1_0
Image Classification,Single-Stream,71.14,1.14163423,Mobilint-ARIES,resnet18_relu6_w1_0
Image Classification,Single-Stream,64.51,1.13089952,Mobilint-ARIES,resnet18_selu_w1_0
Image Classification,Single-Stream,71.25,1.126378104,Mobilint-ARIES,resnet18_silu_w1_0
Image Classification,Single-Stream,72.16,1.96782259,DeepX M1,resnet18_gelu_w1_0
Image Classification,Single-Stream,70.93,1.965699586,DeepX M1,resnet18_hardswish_w1_0
Image Classification,Single-Stream,71.17,1.974893914,DeepX M1,resnet18_leakyrelu_w1_0
Image Classification,Single-Stream,71.86,2.002164135,DeepX M1,resnet18_mish_w1_0
Image Classification,Single-Stream,0.1,3.339365892,DeepX M1,resnet18_prelu_w1_0
Image Classification,Single-Stream,71.03,1.936261809,DeepX M1,resnet18_relu6_w1_0
Image Classification,Single-Stream,70.91,1.980617082,DeepX M1,resnet18_relu_w1_0
Image Classification,Single-Stream,66.72,166.26843380000003,DeepX M1,resnet18_selu_w1_0
Image Classification,Single-Stream,71.84,2.018686159,DeepX M1,resnet18_silu_w1_0
Image Classification,Single-Stream,68.47,1.5887449269999998,Hailo-8,resnet18_elu_w1_0
Image Classification,Single-Stream,71.56,1.57680364,Hailo-8,resnet18_gelu_w1_0
Image Classification,Single-Stream,70.79,1.583346111,Hailo-8,resnet18_hardswish_w1_0
Image Classification,Single-Stream,71.35,1.591245319,Hailo-8,resnet18_leakyrelu_w1_0
Image Classification,Single-Stream,71.64,1.576213636,Hailo-8,resnet18_mish_w1_0
Image Classification,Single-Stream,69.56,1.892119238,Hailo-8,resnet18_prelu_w1_0
Image Classification,Single-Stream,71.0,1.542200224,Hailo-8,resnet18_relu6_w1_0
Image Classification,Single-Stream,70.79,1.548299846,Hailo-8,resnet18_relu_w1_0
Image Classification,Single-Stream,72.09,1.58938919,Hailo-8,resnet18_silu_w1_0
Image Classification,Single-Stream,71.88,44.02284454,Qualcomm QCS6490,resnet18_gelu_w1_0
Image Classification,Single-Stream,70.01,20.37163843,Qualcomm QCS6490,resnet18_hardswish_w1_0
Image Classification,Single-Stream,66.46,22.01996652,Qualcomm QCS6490,resnet18_selu_w1_0
Image Classification,Single-Stream,68.93,20.1851826,Qualcomm QCS6490,resnet18_prelu_w1_0
Image Classification,Single-Stream,71.82,62.58197001,Qualcomm QCS6490,resnet18_mish_w1_0
Image Classification,Single-Stream,71.92,3.076074094,Qualcomm QCS6490,resnet18_silu_w1_0
Image Classification,Single-Stream,71.18,2.763471534,Qualcomm QCS6490,resnet18_relu_w1_0
Image Classification,Single-Stream,71.13,2.719094335,Qualcomm QCS6490,resnet18_relu6_w1_0
Image Classification,Single-Stream,70.42,3.018636657,Qualcomm QCS6490,resnet18_leakyrelu_w1_0
Image Classification,Single-Stream,68.59,3.472513895,Qualcomm QCS6490,resnet18_elu_w1_0
Image Classification,Single-Stream,72.54,1.545218629,RTX PRO 6000 Max-Q,resnet18_silu_w1_0
Image Classification,Single-Stream,66.79,1.531105531,RTX PRO 6000 Max-Q,resnet18_selu_w1_0
Image Classification,Single-Stream,71.24,1.647623331,RTX PRO 6000 Max-Q,resnet18_relu6_w1_0
Image Classification,Single-Stream,71.03,1.500973911,RTX PRO 6000 Max-Q,resnet18_relu_w1_0
Image Classification,Single-Stream,69.95,1.491306978,RTX PRO 6000 Max-Q,resnet18_prelu_w1_0
Image Classification,Single-Stream,71.96,1.749570022,RTX PRO 6000 Max-Q,resnet18_mish_w1_0
Image Classification,Single-Stream,71.54,1.368702,RTX PRO 6000 Max-Q,resnet18_leakyrelu_w1_0
Image Classification,Single-Stream,71.43,1.770342399,RTX PRO 6000 Max-Q,resnet18_hardswish_w1_0
Image Classification,Single-Stream,72.21,1.4606301309999998,RTX PRO 6000 Max-Q,resnet18_gelu_w1_0
Image Classification,Single-Stream,68.68,1.507290864,RTX PRO 6000 Max-Q,resnet18_elu_w1_0
Image Classification,Single-Stream,82.5,8.138,NVIDIA Jetson Orin,resnet18_silu_w1_0
Image Classification,Single-Stream,79.167,8.497,NVIDIA Jetson Orin,resnet18_selu_w1_0
Image Classification,Single-Stream,80.833,8.118,NVIDIA Jetson Orin,resnet18_relu6_w1_0
Image Classification,Single-Stream,85.833,8.015,NVIDIA Jetson Orin,resnet18_relu_w1_0
