task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,79.11,341.8207439,Hailo-8,resnet101_w1_0
Image Classification,Offline,64.77,2572.0863440000007,Hailo-8,resnet10_w1_0
Image Classification,Offline,51.59,2730.466448,Hailo-8,resnet18_w0_25
Image Classification,Offline,63.53,3168.443531,Hailo-8,resnet18_w0_5
Image Classification,Offline,69.13,2979.0449510000008,Hailo-8,resnet18_w0_75
Image Classification,Offline,71.52,2310.764546,Hailo-8,resnet18_w1_0
Image Classification,Offline,74.18,899.7040890000002,Hailo-8,resnet18_w1_5
Image Classification,Offline,75.4,278.7759376,Hailo-8,resnet18_w2_0
Image Classification,Offline,74.96,1295.083085,Hailo-8,resnet34_w1_0
Image Classification,Offline,64.41,3147.908108,Hailo-8,resnet50_w0_25
Image Classification,Offline,72.46,2974.430476,Hailo-8,resnet50_w0_5
Image Classification,Offline,75.52,1972.651985,Hailo-8,resnet50_w0_75
Image Classification,Offline,77.08,1145.596872,Hailo-8,resnet50_w1_0
Image Classification,Offline,78.38,226.8207748,Hailo-8,resnet50_w1_5
Image Classification,Offline,79.0,124.332044,Hailo-8,resnet50_w2_0
Image Classification,Offline,64.75,6434.210124,Mobilint-ARIES,resnet10_w1_0
Image Classification,Offline,63.13,7480.748036,Mobilint-ARIES,resnet18_w0_5
Image Classification,Offline,51.4,10668.36802,Mobilint-ARIES,resnet18_w0_25
Image Classification,Offline,69.08,4676.2549119999985,Mobilint-ARIES,resnet18_w0_75
Image Classification,Offline,71.35,3457.994218,Mobilint-ARIES,resnet18_w1_0
Image Classification,Offline,74.63,1710.4917100000002,Mobilint-ARIES,resnet18_w1_5
Image Classification,Offline,75.63,1106.859031,Mobilint-ARIES,resnet18_w2_0
Image Classification,Offline,75.35,2171.379284,Mobilint-ARIES,resnet34_w1_0
Image Classification,Offline,72.4,4772.589484,Mobilint-ARIES,resnet50_w0_5
Image Classification,Offline,64.42,8410.500754,Mobilint-ARIES,resnet50_w0_25
Image Classification,Offline,75.62,2663.332838,Mobilint-ARIES,resnet50_w0_75
Image Classification,Offline,76.83,1773.1701480000004,Mobilint-ARIES,resnet50_w1_0
Image Classification,Offline,78.4,612.5773328,Mobilint-ARIES,resnet50_w1_5
Image Classification,Offline,79.02,345.6284155,Mobilint-ARIES,resnet50_w2_0
Image Classification,Offline,79.24,1157.270519,Mobilint-ARIES,resnet101_w1_0
Image Classification,Offline,63.54,3403.4234409999995,DeepX M1,resnet18_w0_5
Image Classification,Offline,51.27,4174.331393,DeepX M1,resnet18_w0_25
Image Classification,Offline,68.58,2462.466277,DeepX M1,resnet18_w0_75
Image Classification,Offline,71.25,2067.468686,DeepX M1,resnet18_w1_0
Image Classification,Offline,74.49,836.4524676,DeepX M1,resnet18_w1_5
Image Classification,Offline,75.69,594.1589297,DeepX M1,resnet18_w2_0
Image Classification,Offline,75.19,1199.8366210000004,DeepX M1,resnet34_w1_0
Image Classification,Offline,72.65,2814.691684,DeepX M1,resnet50_w0_5
Image Classification,Offline,64.6,4512.104819,DeepX M1,resnet50_w0_25
Image Classification,Offline,75.71,1614.414676,DeepX M1,resnet50_w0_75
Image Classification,Offline,76.97,975.914145,DeepX M1,resnet50_w1_0
Image Classification,Offline,78.73,469.7475881,DeepX M1,resnet50_w1_5
Image Classification,Offline,79.32,289.5828597000001,DeepX M1,resnet50_w2_0
Image Classification,Offline,78.95,586.4509427,DeepX M1,resnet101_w1_0
Image Classification,Offline,64.48,3253.978597,DeepX M1,resnet10_w1_0
Image Classification,Offline,79.22,550.0134052999998,Apple M4 ANE,resnet101_w1_0
Image Classification,Offline,79.22,223.5358511,Apple M4 ANE,resnet50_w2_0
Image Classification,Offline,78.55,378.4216527,Apple M4 ANE,resnet50_w1_5
Image Classification,Offline,76.91,797.9364957,Apple M4 ANE,resnet50_w1_0
Image Classification,Offline,75.65,1256.495091,Apple M4 ANE,resnet50_w0_75
Image Classification,Offline,64.6,3840.094074,Apple M4 ANE,resnet50_w0_25
Image Classification,Offline,72.85,2103.554307,Apple M4 ANE,resnet50_w0_5
Image Classification,Offline,75.33,1010.259924,Apple M4 ANE,resnet34_w1_0
Image Classification,Offline,75.54,522.5891454,Apple M4 ANE,resnet18_w2_0
Image Classification,Offline,74.77,859.9244882000003,Apple M4 ANE,resnet18_w1_5
Image Classification,Offline,71.67,1598.262483,Apple M4 ANE,resnet18_w1_0
Image Classification,Offline,69.25,2291.526652,Apple M4 ANE,resnet18_w0_75
Image Classification,Offline,51.86,5738.532634,Apple M4 ANE,resnet18_w0_25
Image Classification,Offline,63.61,3703.474978,Apple M4 ANE,resnet18_w0_5
Image Classification,Offline,64.74,2544.906274,Apple M4 ANE,resnet10_w1_0
Image Classification,Offline,79.21,31.76308513,Apple M4 CPU,resnet101_w1_0
