task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,79.21,83.42526393,Apple M4 CPU,resnet101_w1_0
Image Classification,Single-Stream,79.22,158.66791669999995,Apple M4 CPU,resnet50_w2_0
Image Classification,Single-Stream,78.56,90.60120102,Apple M4 CPU,resnet50_w1_5
Image Classification,Single-Stream,76.88,43.50225789,Apple M4 CPU,resnet50_w1_0
Image Classification,Single-Stream,75.69,25.04371203,Apple M4 CPU,resnet50_w0_75
Image Classification,Single-Stream,64.55,3.972552385,Apple M4 CPU,resnet50_w0_25
Image Classification,Single-Stream,72.83,12.3180832,Apple M4 CPU,resnet50_w0_5
Image Classification,Single-Stream,75.34,39.48170176,Apple M4 CPU,resnet34_w1_0
Image Classification,Single-Stream,75.51,68.88580777,Apple M4 CPU,resnet18_w2_0
Image Classification,Single-Stream,74.76,40.10451786,Apple M4 CPU,resnet18_w1_5
Image Classification,Single-Stream,71.66,19.74787246,Apple M4 CPU,resnet18_w1_0
Image Classification,Single-Stream,69.25,11.63483679,Apple M4 CPU,resnet18_w0_75
Image Classification,Single-Stream,51.88,2.099303711,Apple M4 CPU,resnet18_w0_25
Image Classification,Single-Stream,63.65,5.891118804,Apple M4 CPU,resnet18_w0_5
Image Classification,Single-Stream,64.76,9.861117656000001,Apple M4 CPU,resnet10_w1_0
Image Classification,Single-Stream,64.75,0.855370193,Mobilint-ARIES,resnet10_w1_0
Image Classification,Single-Stream,63.13,0.81400709,Mobilint-ARIES,resnet18_w0_5
Image Classification,Single-Stream,51.4,0.7497619659999999,Mobilint-ARIES,resnet18_w0_25
Image Classification,Single-Stream,69.08,1.0132368109999998,Mobilint-ARIES,resnet18_w0_75
Image Classification,Single-Stream,71.35,1.136146149,Mobilint-ARIES,resnet18_w1_0
Image Classification,Single-Stream,74.63,2.285937674,Mobilint-ARIES,resnet18_w1_5
Image Classification,Single-Stream,75.63,2.953909975,Mobilint-ARIES,resnet18_w2_0
Image Classification,Single-Stream,75.35,1.678148741,Mobilint-ARIES,resnet34_w1_0
Image Classification,Single-Stream,72.4,1.035470736,Mobilint-ARIES,resnet50_w0_5
Image Classification,Single-Stream,64.42,0.844728804,Mobilint-ARIES,resnet50_w0_25
Image Classification,Single-Stream,75.62,1.5433130919999998,Mobilint-ARIES,resnet50_w0_75
Image Classification,Single-Stream,76.83,2.0022796830000003,Mobilint-ARIES,resnet50_w1_0
Image Classification,Single-Stream,78.4,5.988042766,Mobilint-ARIES,resnet50_w1_5
Image Classification,Single-Stream,79.02,8.61590343,Mobilint-ARIES,resnet50_w2_0
Image Classification,Single-Stream,79.24,2.905530099,Mobilint-ARIES,resnet101_w1_0
Image Classification,Single-Stream,63.54,1.4077388469999998,DeepX M1,resnet18_w0_5
Image Classification,Single-Stream,51.27,1.2003854,DeepX M1,resnet18_w0_25
Image Classification,Single-Stream,68.58,1.755143048,DeepX M1,resnet18_w0_75
Image Classification,Single-Stream,71.25,1.972113277,DeepX M1,resnet18_w1_0
Image Classification,Single-Stream,74.49,3.4237639580000003,DeepX M1,resnet18_w1_5
Image Classification,Single-Stream,75.69,4.430880597,DeepX M1,resnet18_w2_0
Image Classification,Single-Stream,75.19,2.758296091,DeepX M1,resnet34_w1_0
Image Classification,Single-Stream,72.65,1.679324005,DeepX M1,resnet50_w0_5
Image Classification,Single-Stream,64.6,1.232942131,DeepX M1,resnet50_w0_25
Image Classification,Single-Stream,75.71,2.338976595,DeepX M1,resnet50_w0_75
Image Classification,Single-Stream,76.97,3.114551185,DeepX M1,resnet50_w1_0
Image Classification,Single-Stream,78.73,5.446885414,DeepX M1,resnet50_w1_5
Image Classification,Single-Stream,79.32,7.975937622000001,DeepX M1,resnet50_w2_0
Image Classification,Single-Stream,78.95,4.862682461,DeepX M1,resnet101_w1_0
Image Classification,Single-Stream,64.48,1.498347644,DeepX M1,resnet10_w1_0
Image Classification,Single-Stream,79.11,36.71766845,Hailo-8,resnet101_w1_0
Image Classification,Single-Stream,64.77,1.052341196,Hailo-8,resnet10_w1_0
Image Classification,Single-Stream,51.59,0.81260268,Hailo-8,resnet18_w0_25
Image Classification,Single-Stream,63.53,0.8086138890000001,Hailo-8,resnet18_w0_5
Image Classification,Single-Stream,69.13,1.0877455390000002,Hailo-8,resnet18_w0_75
Image Classification,Single-Stream,71.52,1.521988368,Hailo-8,resnet18_w1_0
Image Classification,Single-Stream,74.18,3.133516795,Hailo-8,resnet18_w1_5
Image Classification,Single-Stream,75.4,36.44515357,Hailo-8,resnet18_w2_0
Image Classification,Single-Stream,74.96,3.598948333,Hailo-8,resnet34_w1_0
Image Classification,Single-Stream,64.41,0.923945714,Hailo-8,resnet50_w0_25
Image Classification,Single-Stream,72.46,1.515255209,Hailo-8,resnet50_w0_5
Image Classification,Single-Stream,75.52,2.367631584,Hailo-8,resnet50_w0_75
Image Classification,Single-Stream,77.08,4.036999383,Hailo-8,resnet50_w1_0
Image Classification,Single-Stream,78.38,44.20789696,Hailo-8,resnet50_w1_5
Image Classification,Single-Stream,79.0,75.4199848,Hailo-8,resnet50_w2_0
Image Classification,Single-Stream,79.22,1.823237953,Apple M4 ANE,resnet101_w1_0
