task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,76.78,1748.885395,Mobilint-ARIES,resnext50_c8_w1_0
Image Classification,Offline,79.14,716.3998896,Mobilint-ARIES,resnext50_c16_w1_0
Image Classification,Offline,79.59,185.449033,Mobilint-ARIES,resnext50_c32_w1_0
Image Classification,Offline,79.07,26.14693606,Mobilint-ARIES,resnext50_c64_w1_0
Image Classification,Offline,76.94,979.6319129,DeepX M1,resnext50_c8_w1_0
Image Classification,Offline,79.17,463.3616926,DeepX M1,resnext50_c16_w1_0
Image Classification,Offline,79.49,146.4927926,DeepX M1,resnext50_c32_w1_0
Image Classification,Offline,78.84,798.3447551,Hailo-8,resnext50_c16_w1_0
Image Classification,Offline,79.36,305.6278833,Hailo-8,resnext50_c32_w1_0
Image Classification,Offline,78.56,127.1885485,Hailo-8,resnext50_c64_w1_0
Image Classification,Offline,77.1,1650.093186,Hailo-8,resnext50_c8_w1_0
Image Classification,Offline,79.06,153.6888687,Apple M4 ANE,resnext50_c64_w1_0
Image Classification,Offline,79.83,445.2293872,Apple M4 ANE,resnext50_c32_w1_0
Image Classification,Offline,79.28,736.8135844,Apple M4 ANE,resnext50_c16_w1_0
Image Classification,Offline,77.06,1103.419767,Apple M4 ANE,resnext50_c8_w1_0
Image Classification,Offline,79.1,15.45510779,Apple M4 CPU,resnext50_c64_w1_0
Image Classification,Offline,79.9,29.86807304,Apple M4 CPU,resnext50_c32_w1_0
Image Classification,Offline,79.25,55.5725367,Apple M4 CPU,resnext50_c16_w1_0
Image Classification,Offline,77.07,97.99222354,Apple M4 CPU,resnext50_c8_w1_0
Image Classification,Offline,79.1,665.8079392,RTX PRO 6000 Max-Q,resnext50_c64_w1_0
Image Classification,Offline,79.9,1150.98413,RTX PRO 6000 Max-Q,resnext50_c32_w1_0
Image Classification,Offline,79.25,1675.965986,RTX PRO 6000 Max-Q,resnext50_c16_w1_0
Image Classification,Offline,77.07,2228.401127,RTX PRO 6000 Max-Q,resnext50_c8_w1_0
Image Classification,Offline,78.85,90.55563303,Qualcomm QCS6490,resnext50_c64_w1_0
Image Classification,Offline,79.75,166.2922079,Qualcomm QCS6490,resnext50_c32_w1_0
Image Classification,Offline,79.2,300.3448908,Qualcomm QCS6490,resnext50_c16_w1_0
Image Classification,Offline,77.03,462.7585835,Qualcomm QCS6490,resnext50_c8_w1_0
