task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,79.06,6.509545898,Apple M4 ANE,resnext50_c64_w1_0
Image Classification,Single-Stream,79.83,2.247399895,Apple M4 ANE,resnext50_c32_w1_0
Image Classification,Single-Stream,79.28,1.358576304,Apple M4 ANE,resnext50_c16_w1_0
Image Classification,Single-Stream,77.06,0.907290436,Apple M4 ANE,resnext50_c8_w1_0
Image Classification,Single-Stream,79.1,161.737255,Apple M4 CPU,resnext50_c64_w1_0
Image Classification,Single-Stream,79.9,89.03554222,Apple M4 CPU,resnext50_c32_w1_0
Image Classification,Single-Stream,79.25,48.58945796,Apple M4 CPU,resnext50_c16_w1_0
Image Classification,Single-Stream,77.07,27.80992115,Apple M4 CPU,resnext50_c8_w1_0
Image Classification,Single-Stream,76.78,1.996743444,Mobilint-ARIES,resnext50_c8_w1_0
Image Classification,Single-Stream,79.14,4.46026818,Mobilint-ARIES,resnext50_c16_w1_0
Image Classification,Single-Stream,79.59,13.02225286,Mobilint-ARIES,resnext50_c32_w1_0
Image Classification,Single-Stream,79.07,65.33466432,Mobilint-ARIES,resnext50_c64_w1_0
Image Classification,Single-Stream,76.94,3.099751834,DeepX M1,resnext50_c8_w1_0
Image Classification,Single-Stream,79.17,5.976250668,DeepX M1,resnext50_c16_w1_0
Image Classification,Single-Stream,79.49,17.82548786,DeepX M1,resnext50_c32_w1_0
Image Classification,Single-Stream,78.84,6.040202845,Hailo-8,resnext50_c16_w1_0
Image Classification,Single-Stream,79.36,38.47132315,Hailo-8,resnext50_c32_w1_0
Image Classification,Single-Stream,78.56,76.56991992,Hailo-8,resnext50_c64_w1_0
Image Classification,Single-Stream,77.1,3.022733209,Hailo-8,resnext50_c8_w1_0
Image Classification,Single-Stream,76.98,3.393874498,Qualcomm QCS6490,resnext50_c8_w1_0
Image Classification,Single-Stream,78.83,13.35809964,Qualcomm QCS6490,resnext50_c64_w1_0
Image Classification,Single-Stream,79.62,8.255986829,Qualcomm QCS6490,resnext50_c32_w1_0
Image Classification,Single-Stream,79.06,4.363367704,Qualcomm QCS6490,resnext50_c16_w1_0
Image Classification,Single-Stream,79.1,5.161503265,RTX PRO 6000 Max-Q,resnext50_c64_w1_0
Image Classification,Single-Stream,79.9,3.692858548,RTX PRO 6000 Max-Q,resnext50_c32_w1_0
Image Classification,Single-Stream,79.25,2.506436687,RTX PRO 6000 Max-Q,resnext50_c16_w1_0
Image Classification,Single-Stream,77.07,1.926864334,RTX PRO 6000 Max-Q,resnext50_c8_w1_0
Image Classification,Single-Stream,84.167,33.725,NVIDIA Jetson Orin,resnext50_c64_w1_0
Image Classification,Single-Stream,87.5,20.414,NVIDIA Jetson Orin,resnext50_c32_w1_0
Image Classification,Single-Stream,85.0,15.241,NVIDIA Jetson Orin,resnext50_c16_w1_0
Image Classification,Single-Stream,83.333,12.459000000000001,NVIDIA Jetson Orin,resnext50_c8_w1_0
