task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,70.71,2307.765901,Hailo-8,shufflenet_v2_x1_0
Image Classification,Offline,74.34,1865.512379,Hailo-8,shufflenet_v2_x1_5
Image Classification,Offline,76.84,1393.089736,Hailo-8,shufflenet_v2_x2_0
Image Classification,Offline,70.53,9713.782767,Mobilint-ARIES,shufflenet_v2_x1_0
Image Classification,Offline,73.64,6033.683346,Mobilint-ARIES,shufflenet_v2_x1_5
Image Classification,Offline,76.59,3825.578675,Mobilint-ARIES,shufflenet_v2_x2_0
Image Classification,Offline,70.59,3256.504286,DeepX M1,shufflenet_v2_x1_0
Image Classification,Offline,73.02,2099.347104,DeepX M1,shufflenet_v2_x1_5
Image Classification,Offline,76.51,1602.88958,DeepX M1,shufflenet_v2_x2_0
Image Classification,Offline,77.42,347.3240081,Apple M4 ANE,shufflenet_v2_x2_0
Image Classification,Offline,74.42,602.309746,Apple M4 ANE,shufflenet_v2_x1_5
Image Classification,Offline,70.89,1049.930327,Apple M4 ANE,shufflenet_v2_x1_0
Image Classification,Offline,77.43,344.4517703,Apple M4 CPU,shufflenet_v2_x2_0
Image Classification,Offline,74.44,627.2319292,Apple M4 CPU,shufflenet_v2_x1_5
Image Classification,Offline,70.92,1068.784916,Apple M4 CPU,shufflenet_v2_x1_0
Image Classification,Offline,77.43,3946.951999,RTX PRO 6000 Max-Q,shufflenet_v2_x2_0
Image Classification,Offline,74.44,4635.872012,RTX PRO 6000 Max-Q,shufflenet_v2_x1_5
Image Classification,Offline,70.92,5102.246671,RTX PRO 6000 Max-Q,shufflenet_v2_x1_0
Image Classification,Offline,70.43,565.6750298,Qualcomm QCS6490,shufflenet_v2_x1_0
Image Classification,Offline,73.55,539.2833515,Qualcomm QCS6490,shufflenet_v2_x1_5
Image Classification,Offline,70.13,334.72648,Qualcomm QCS6490,shufflenet_v2_x2_0
