task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,70.71,3.493292551,Hailo-8,shufflenet_v2_x1_0
Image Classification,Single-Stream,74.34,4.979177236,Hailo-8,shufflenet_v2_x1_5
Image Classification,Single-Stream,76.84,7.71963308,Hailo-8,shufflenet_v2_x2_0
Image Classification,Single-Stream,70.53,0.649558224,Mobilint-ARIES,shufflenet_v2_x1_0
Image Classification,Single-Stream,73.64,0.835622217,Mobilint-ARIES,shufflenet_v2_x1_5
Image Classification,Single-Stream,76.59,0.990596327,Mobilint-ARIES,shufflenet_v2_x2_0
Image Classification,Single-Stream,70.59,1.581100573,DeepX M1,shufflenet_v2_x1_0
Image Classification,Single-Stream,73.02,2.04105948,DeepX M1,shufflenet_v2_x1_5
Image Classification,Single-Stream,76.51,2.329019016,DeepX M1,shufflenet_v2_x2_0
Image Classification,Single-Stream,70.13,2.959616753,Qualcomm QCS6490,shufflenet_v2_x2_0
Image Classification,Single-Stream,73.55,1.774794318,Qualcomm QCS6490,shufflenet_v2_x1_5
Image Classification,Single-Stream,70.43,1.750223127,Qualcomm QCS6490,shufflenet_v2_x1_0
Image Classification,Single-Stream,77.42,11.89626326,Apple M4 ANE,shufflenet_v2_x2_0
Image Classification,Single-Stream,74.42,7.733000988,Apple M4 ANE,shufflenet_v2_x1_5
Image Classification,Single-Stream,70.89,4.954683368,Apple M4 ANE,shufflenet_v2_x1_0
Image Classification,Single-Stream,77.43,9.429556034,Apple M4 CPU,shufflenet_v2_x2_0
Image Classification,Single-Stream,74.44,5.491278264,Apple M4 CPU,shufflenet_v2_x1_5
Image Classification,Single-Stream,70.92,3.258141607,Apple M4 CPU,shufflenet_v2_x1_0
Image Classification,Single-Stream,77.43,1.349113839,RTX PRO 6000 Max-Q,shufflenet_v2_x2_0
Image Classification,Single-Stream,74.44,1.299413167,RTX PRO 6000 Max-Q,shufflenet_v2_x1_5
Image Classification,Single-Stream,70.92,1.251122524,RTX PRO 6000 Max-Q,shufflenet_v2_x1_0
