task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,6.56,70.19001825,Hailo-8,hf_vit_base_patch16_224
Image Classification,Offline,0.08,145.3562187,Hailo-8,hf_vit_small_patch16_224
Image Classification,Offline,0.1,341.5315425,Hailo-8,hf_vit_tiny_patch16_224
Image Classification,Offline,78.2,142.4155551,Mobilint-ARIES,hf_vit_base_patch16_224
Image Classification,Offline,76.43,578.1848269,Mobilint-ARIES,hf_vit_small_patch16_224
Image Classification,Offline,48.01,1539.024234,Mobilint-ARIES,hf_vit_tiny_patch16_224
Image Classification,Offline,0.1,66.64453762,DeepX M1,hf_vit_base_patch16_224
Image Classification,Offline,0.1,162.3495871,DeepX M1,hf_vit_small_patch16_224
Image Classification,Offline,0.07,371.9934205,DeepX M1,hf_vit_tiny_patch16_224
Image Classification,Offline,48.43,71.35966011,Apple M4 ANE,hf_vit_tiny_patch16_224
Image Classification,Offline,76.56,36.0585048,Apple M4 ANE,hf_vit_small_patch16_224
Image Classification,Offline,78.03,12.56804649,Apple M4 ANE,hf_vit_base_patch16_224
Image Classification,Offline,48.42,193.1672657,Apple M4 CPU,hf_vit_tiny_patch16_224
Image Classification,Offline,76.59,57.73109864,Apple M4 CPU,hf_vit_small_patch16_224
Image Classification,Offline,78.02,15.82035849,Apple M4 CPU,hf_vit_base_patch16_224
Image Classification,Offline,48.42,2841.37754,RTX PRO 6000 Max-Q,hf_vit_tiny_patch16_224
Image Classification,Offline,76.59,1361.569544,RTX PRO 6000 Max-Q,hf_vit_small_patch16_224
Image Classification,Offline,78.02,412.2743105,RTX PRO 6000 Max-Q,hf_vit_base_patch16_224
Image Classification,Offline,22.26,7.14244944,Qualcomm QCS6490,hf_vit_base_patch16_224
Image Classification,Offline,14.47,16.29771956,Qualcomm QCS6490,hf_vit_small_patch16_224
Image Classification,Offline,0.16,26.92346318,Qualcomm QCS6490,hf_vit_tiny_patch16_224
Image Classification,Offline,64.167,201.426,NVIDIA Jetson Orin,hf_vit_tiny_patch16_224
Image Classification,Offline,84.167,123.2,NVIDIA Jetson Orin,hf_vit_small_patch16_224
Image Classification,Offline,83.333,57.943000000000005,NVIDIA Jetson Orin,hf_vit_base_patch16_224
