task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,6.56,81.27329271,Hailo-8,hf_vit_base_patch16_224
Image Classification,Single-Stream,0.08,29.840381,Hailo-8,hf_vit_small_patch16_224
Image Classification,Single-Stream,0.1,14.36340257,Hailo-8,hf_vit_tiny_patch16_224
Image Classification,Single-Stream,78.2,25.80321476,Mobilint-ARIES,hf_vit_base_patch16_224
Image Classification,Single-Stream,76.43,9.595764934,Mobilint-ARIES,hf_vit_small_patch16_224
Image Classification,Single-Stream,48.01,4.516921981,Mobilint-ARIES,hf_vit_tiny_patch16_224
Image Classification,Single-Stream,0.08,32.76764254,DeepX M1,hf_vit_base_patch16_224
Image Classification,Single-Stream,0.08,16.2167595,DeepX M1,hf_vit_small_patch16_224
Image Classification,Single-Stream,0.1,9.077132789,DeepX M1,hf_vit_tiny_patch16_224
Image Classification,Single-Stream,23.87,334.8172649,Qualcomm QCS6490,hf_vit_base_patch16_224
Image Classification,Single-Stream,14.89,201.8572101,Qualcomm QCS6490,hf_vit_small_patch16_224
Image Classification,Single-Stream,0.16,109.7731168,Qualcomm QCS6490,hf_vit_tiny_patch16_224
Image Classification,Single-Stream,48.43,86.67662277,Apple M4 ANE,hf_vit_tiny_patch16_224
Image Classification,Single-Stream,76.56,257.2158147,Apple M4 ANE,hf_vit_small_patch16_224
Image Classification,Single-Stream,78.03,265.5469721,Apple M4 ANE,hf_vit_base_patch16_224
Image Classification,Single-Stream,48.42,14.34674815,Apple M4 CPU,hf_vit_tiny_patch16_224
Image Classification,Single-Stream,76.59,46.30474562,Apple M4 CPU,hf_vit_small_patch16_224
Image Classification,Single-Stream,78.02,153.1529665,Apple M4 CPU,hf_vit_base_patch16_224
Image Classification,Single-Stream,48.42,1.936013124,RTX PRO 6000 Max-Q,hf_vit_tiny_patch16_224
Image Classification,Single-Stream,76.59,2.377659151,RTX PRO 6000 Max-Q,hf_vit_small_patch16_224
Image Classification,Single-Stream,78.02,4.108365129,RTX PRO 6000 Max-Q,hf_vit_base_patch16_224
